time	geography	geography_name	grade	N_dtap	N_polio	N_mmr	N_hep_b	N_varicella	N_personal_exempt	N_medical_exempt	N_full_exempt	pct_dtap	pct_polio	pct_mmr	pct_hep_b	pct_varicella	pct_personal_exempt	pct_medical_exempt	pct_full_exempt
2014-09-01	05	Arkansas	Overall	NA	NA	NA	NA	NA	NA	NA	613	NA	NA	NA	NA	NA	NA	NA	NA
2015-09-01	05	Arkansas	Overall	NA	NA	NA	NA	NA	NA	NA	739	NA	NA	NA	NA	NA	NA	NA	NA
2016-09-01	05	Arkansas	Overall	NA	NA	NA	NA	NA	NA	NA	6068	NA	NA	NA	NA	NA	NA	NA	NA
2017-09-01	05	Arkansas	Overall	NA	NA	NA	NA	NA	NA	NA	5873	NA	NA	NA	NA	NA	NA	NA	NA
2018-09-01	05	Arkansas	Overall	NA	NA	NA	NA	NA	NA	NA	5841	NA	NA	NA	NA	NA	NA	NA	NA
2019-09-01	05	Arkansas	Overall	NA	NA	NA	NA	NA	NA	NA	6438	NA	NA	NA	NA	NA	NA	NA	NA
2020-09-01	05	Arkansas	Overall	NA	NA	NA	NA	NA	NA	NA	6581	NA	NA	NA	NA	NA	NA	NA	NA
2021-09-01	05	Arkansas	Overall	NA	NA	NA	NA	NA	NA	NA	6273	NA	NA	NA	NA	NA	NA	NA	NA
2022-09-01	05	Arkansas	Overall	NA	NA	NA	NA	NA	NA	NA	7133	NA	NA	NA	NA	NA	NA	NA	NA
2023-09-01	05	Arkansas	Overall	NA	NA	NA	NA	NA	NA	NA	8347	NA	NA	NA	NA	NA	NA	NA	NA
2024-09-01	05	Arkansas	Overall	NA	NA	NA	NA	NA	NA	NA	9910	NA	NA	NA	NA	NA	NA	NA	NA
2025-09-01	05	Arkansas	Overall	NA	NA	NA	NA	NA	NA	NA	11528	NA	NA	NA	NA	NA	NA	NA	NA
