OBJECTID,County,Survey_Type,Vaccine,Metric,Value_Percent,Enrollment,Year
1,ADAMS,Child Care/Preschool,MMR,In Process,0.9,8242,2017/2018
2,ADAMS,Kindergarten,Polio,In Process,0.6,6194,2017/2018
3,ADAMS,School,MMR,In Process,0.1,83736,2017/2018
4,ADAMS,School,Varicella,In Process,0.3,83736,2017/2018
5,ADAMS,Kindergarten,HepB,Nonmedical Exemption,2.8,5933,2018/2019
6,ADAMS,Child Care/Preschool,PCV,Fully Immunized,97.1,8799,2019/2020
7,ADAMS,Child Care/Preschool,PCV,No Record,0.4,6562,2020/2021
8,ADAMS,Child Care/Preschool,Varicella,No Record,0.4,6562,2020/2021
9,ADAMS,School,DTaP,Fully Immunized,96.4,85921,2020/2021
10,ADAMS,Child Care/Preschool,Polio,Incomplete Record,2.1,7810,2021/2022
11,ADAMS,School,COVID,Medical Exemption,0,85200,2021/2022
12,ADAMS,Child Care/Preschool,Polio,Nonmedical Exemption,1.3,7945,2022/2023
13,ADAMS,Child Care/Preschool,Hib,Nonmedical Exemption,1.6,6804,2024/2025
14,ADAMS,Kindergarten,Polio,Incomplete Record,3.8,5737,2024/2025
15,ADAMS,Kindergarten,Varicella,No Record,1.1,5737,2024/2025
16,ADAMS,Kindergarten,Varicella,Nonmedical Exemption,3.7,5737,2024/2025
17,ADAMS,Child Care/Preschool,PCV,Fully Immunized,95.1,7456,2025/2026
18,ADAMS,Child Care/Preschool,PCV,Incomplete Record,1.3,7456,2025/2026
19,ADAMS,Kindergarten,DTaP,No Record,0.6,5726,2025/2026
20,ALAMOSA,Child Care/Preschool,PCV,Nonmedical Exemption,0.4,452,2017/2018
21,ALAMOSA,School,DTaP,Fully Immunized,90.8,2638,2017/2018
22,ALAMOSA,Child Care/Preschool,Polio,No Record,1.2,405,2018/2019
23,ALAMOSA,Kindergarten,Varicella,Incomplete Record,0,224,2018/2019
24,ALAMOSA,Child Care/Preschool,Varicella,Incomplete Record,1.1,438,2019/2020
25,ALAMOSA,Kindergarten,DTaP,No Record,0.4,250,2019/2020
26,ALAMOSA,Child Care/Preschool,Varicella,No Record,0,289,2020/2021
27,ALAMOSA,Kindergarten,MMR,In Process,11.5,165,2020/2021
28,ALAMOSA,Kindergarten,MMR,Nonmedical Exemption,2.9,173,2021/2022
29,ALAMOSA,Kindergarten,Polio,Medical Exemption,0,173,2021/2022
30,ALAMOSA,School,DTaP,Fully Immunized,91.7,2439,2021/2022
31,ALAMOSA,School,DTaP,No Record,3.3,2439,2021/2022
32,ALAMOSA,Kindergarten,DTaP,No Record,2.5,161,2022/2023
33,ALAMOSA,Kindergarten,Varicella,No Record,2.5,161,2022/2023
34,ALAMOSA,Kindergarten,,Summary Compliant,96.7,151,2023/2024
35,ALAMOSA,Kindergarten,DTaP,In Process,14.8,135,2024/2025
36,ALAMOSA,Kindergarten,Polio,Fully Immunized,80.7,135,2024/2025
37,ALAMOSA,School,HepB,No Record,2.6,2035,2024/2025
38,ALAMOSA,Child Care/Preschool,DTaP,Medical Exemption,0,325,2025/2026
39,ARAPAHOE,Child Care/Preschool,PCV,Nonmedical Exemption,1.5,12955,2017/2018
40,ARAPAHOE,Child Care/Preschool,MMR,Medical Exemption,0.1,11547,2018/2019
41,ARAPAHOE,Kindergarten,Varicella,Fully Immunized,89.9,7828,2018/2019
42,ARAPAHOE,School,MMR,Medical Exemption,0.1,111961,2018/2019
43,ARAPAHOE,Child Care/Preschool,Hib,Incomplete Record,0.7,14337,2019/2020
44,ARAPAHOE,Child Care/Preschool,Polio,Incomplete Record,0.9,14337,2019/2020
45,ARAPAHOE,Child Care/Preschool,HepB,Nonmedical Exemption,1.4,10375,2020/2021
46,ARAPAHOE,Kindergarten,Polio,Fully Immunized,92,7013,2020/2021
