"OBJECTID","Year","Survey_Type","Vaccine","Metric","Value_Percent","Enrollment"
1,"2017/2018","Child Care/Preschool","DTaP","Incomplete Record",1.7,106593
2,"2017/2018","Child Care/Preschool","PCV","Medical Exemption",0.1,106593
3,"2017/2018","Kindergarten","HepB","Incomplete Record",2.6,65718
4,"2017/2018","School","HepB","Medical Exemption",0.1,880843
5,"2018/2019","Child Care/Preschool","DTaP","Medical Exemption",0.1,92382
6,"2018/2019","Kindergarten","Polio","Fully Immunized",87.2,64179
7,"2018/2019","School","Tdap","In Process",0.3,470136
8,"2020/2021","Child Care/Preschool","DTaP","Fully Immunized",92.9,82985
9,"2021/2022","Child Care/Preschool","Hib","In Process",0.8,92664
10,"2021/2022","School",,"Summary Compliant",91.7,866857
11,"2021/2022","School","MMR","No Record",0.9,866857
12,"2022/2023","Kindergarten","MMR","Nonmedical Exemption",3.8,63887
13,"2022/2023","School","HepB","Incomplete Record",1.9,870984
14,"2022/2023","School","Tdap","In Process",0.3,494743
15,"2022/2023","School","Varicella","No Record",1.5,870984
16,"2023/2024","Child Care/Preschool","HepB","In Process",0.9,90894
17,"2023/2024","Child Care/Preschool","Hib","Medical Exemption",0.3,90894
18,"2023/2024","Kindergarten","HepB","No Record",2.3,61748
19,"2023/2024","School","MMR","Medical Exemption",0.2,853939
20,"2024/2025","School","Polio","Medical Exemption",0.1,851736
21,"2025/2026","Child Care/Preschool","Hib","Nonmedical Exemption",3.2,97807
22,"2025/2026","Child Care/Preschool","Varicella","No Record",0.6,97807
23,"2017/2018","Child Care/Preschool","HepB","No Record",0.7,106593
24,"2017/2018","Child Care/Preschool","PCV","No Record",1,106593
25,"2017/2018","Kindergarten","Varicella","Incomplete Record",6,65718
26,"2017/2018","School","MMR","No Record",0.6,880843
27,"2018/2019","Child Care/Preschool","DTaP","Fully Immunized",93.5,92382
28,"2018/2019","Child Care/Preschool","Hib","Incomplete Record",1.3,92382
29,"2019/2020","Child Care/Preschool","MMR","Nonmedical Exemption",2.5,108348
30,"2019/2020","Kindergarten","MMR","In Process",0.4,67876
31,"2020/2021","Child Care/Preschool","DTaP","In Process",1.1,82985
32,"2020/2021","Child Care/Preschool","Hib","Incomplete Record",1.3,82985
33,"2020/2021","School","HepB","In Process",0.1,867411
34,"2020/2021","School","Tdap","Fully Immunized",91.3,487860
35,"2021/2022","Child Care/Preschool","Polio","Nonmedical Exemption",2,92664
36,"2022/2023","School","DTaP","No Record",1.5,870984
37,"2023/2024","Child Care/Preschool","PCV","In Process",1,90894
38,"2023/2024","Child Care/Preschool","PCV","Incomplete Record",1.5,90894
39,"2023/2024","Child Care/Preschool","PCV","No Record",0.8,90894
40,"2023/2024","Child Care/Preschool","Varicella","No Record",0.7,90894
41,"2024/2025","School","DTaP","In Process",0.3,851736
42,"2024/2025","School","Tdap","Fully Immunized",89.2,484896
43,"2025/2026","Child Care/Preschool","PCV","In Process",1.2,97807
44,"2025/2026","Kindergarten","HepB","No Record",2.2,60049
45,"2025/2026","School","DTaP","No Record",1.5,849507
46,"2025/2026","School","HepB","Medical Exemption",0.2,849507
47,"2017/2018","Child Care/Preschool","DTaP","No Record",0.7,106593
48,"2017/2018","Child Care/Preschool","Hib","Fully Immunized",93.8,106593
49,"2017/2018","Child Care/Preschool","Polio","Nonmedical Exemption",2.5,106593
50,"2017/2018","School","Varicella","Fully Immunized",92.9,880843
51,"2018/2019","Child Care/Preschool",,"Summary Compliant",94.6,92382
52,"2019/2020","Child Care/Preschool","HepB","Incomplete Record",1,108348
53,"2019/2020","Child Care/Preschool","MMR","Medical Exemption",0.2,108348
54,"2019/2020","Kindergarten","Varicella","Incomplete Record",3.3,67876
55,"2019/2020","School","Tdap","Fully Immunized",92.5,495607
56,"2020/2021","Child Care/Preschool","HepB","No Record",2,82985
57,"2020/2021","Child Care/Preschool","PCV","Fully Immunized",93.6,82985
58,"2020/2021","Kindergarten","HepB","In Process",0.2,61888
59,"2020/2021","School","HepB","Incomplete Record",1.4,867411
60,"2021/2022","School","DTaP","No Record",0.9,866857
61,"2022/2023","Child Care/Preschool","Varicella","Incomplete Record",1.4,95552
62,"2022/2023","Kindergarten","Polio","Nonmedical Exemption",3.9,63887
63,"2022/2023","Kindergarten","Varicella","Incomplete Record",6.6,63887
64,"2022/2023","School","DTaP","Medical Exemption",0.1,870984
65,"2023/2024","Child Care/Preschool","HepB","Fully Immunized",93.9,90894
66,"2024/2025","Kindergarten","HepB","Fully Immunized",91.3,60055
67,"2025/2026","Child Care/Preschool","HepB","Nonmedical Exemption",3.4,97807
68,"2025/2026","Kindergarten","HepB","Nonmedical Exemption",3.5,60049
69,"2025/2026","Kindergarten","MMR","Incomplete Record",5.1,60049
70,"2017/2018","Child Care/Preschool","MMR","In Process",1.8,106593
71,"2017/2018","Kindergarten","Polio","In Process",0.8,65718
72,"2017/2018","School","MMR","In Process",0.2,880843
73,"2017/2018","School","Varicella","In Process",0.3,880843
74,"2018/2019","Kindergarten","HepB","Nonmedical Exemption",4.1,64179
75,"2019/2020","Child Care/Preschool","PCV","Fully Immunized",94.5,108348
76,"2020/2021","Child Care/Preschool","PCV","No Record",2,82985
77,"2020/2021","Child Care/Preschool","Varicella","No Record",2,82985
78,"2020/2021","School","DTaP","Fully Immunized",95.1,867411
79,"2021/2022","Child Care/Preschool","Polio","Incomplete Record",1.6,92664
80,"2021/2022","School","DTaP","Medical Exemption",0.2,866857
81,"2022/2023","Child Care/Preschool","Varicella","Nonmedical Exemption",2.2,95552
82,"2024/2025","Child Care/Preschool","MMR","Nonmedical Exemption",2.9,94156
83,"2024/2025","Kindergarten","Varicella","Incomplete Record",5.8,60055
84,"2024/2025","School","DTaP","Medical Exemption",0.1,851736
85,"2024/2025","School","DTaP","No Record",1.7,851736
86,"2025/2026","Child Care/Preschool","Varicella","Fully Immunized",92.2,97807
87,"2025/2026","Child Care/Preschool","Varicella","Incomplete Record",1.2,97807
88,"2025/2026","Kindergarten","MMR","No Record",2.2,60049
89,"2017/2018","Kindergarten","MMR","Incomplete Record",5.4,65718
90,"2018/2019","School","MMR","Fully Immunized",94.3,864485
