county	time	grade	pct_dtap_medical_exempt	pct_dtap_nonmedical_exempt	pct_hepb_medical_exempt	pct_hepb_nonmedical_exempt	pct_hib_medical_exempt	pct_hib_nonmedical_exempt	pct_mmr_medical_exempt	pct_mmr_nonmedical_exempt	pct_pcv_medical_exempt	pct_pcv_nonmedical_exempt	pct_polio_medical_exempt	pct_polio_nonmedical_exempt	pct_varicella_medical_exempt	pct_varicella_nonmedical_exempt	pct_tdap_medical_exempt	pct_tdap_nonmedical_exempt	geography	state	geography_name	N_dtap	N_polio	N_mmr	N_hep_b	N_varicella	N_personal_exempt	N_medical_exempt	N_full_exempt	pct_dtap	pct_polio	pct_mmr	pct_hep_b	pct_varicella	pct_personal_exempt	pct_medical_exempt	pct_full_exempt
Adams	2018-09-01	Child Care/Preschool	0.12	1.37	0.13	1.55	0.12	1.3	0.12	1.32	0.12	1.32	0.12	1.37	0.16	1.58	NA	NA	08001	CO	Adams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adams	2018-09-01	Kindergarten	0.08	3.47	0.05	2.89	NA	NA	0.13	3.44	NA	NA	0.06	3.66	0.18	3.75	NA	NA	08001	CO	Adams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adams	2018-09-01	School	0.08	1.75	0.08	1.74	NA	NA	0.13	1.82	NA	NA	0.08	1.83	0.16	2.07	0.09	1.89	08001	CO	Adams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adams	2019-09-01	Child Care/Preschool	0.05	1.29	0.04	1.47	0.05	1.2	0.05	1.2	0.05	1.15	0.05	1.21	0.08	1.31	NA	NA	08001	CO	Adams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adams	2019-09-01	Kindergarten	0.07	3.15	0.05	2.78	NA	NA	0.08	3.14	NA	NA	0.08	3.22	0.08	3.51	NA	NA	08001	CO	Adams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adams	2019-09-01	School	0.08	1.64	0.07	1.54	NA	NA	0.12	1.67	NA	NA	0.08	1.69	0.14	1.86	0.11	1.89	08001	CO	Adams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adams	2020-09-01	Child Care/Preschool	0.03	1.57	0.06	1.61	0.05	1.45	0.07	1.43	0.06	1.42	0.05	1.45	0.07	1.49	NA	NA	08001	CO	Adams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adams	2020-09-01	Kindergarten	0.08	3.55	0.08	2.49	NA	NA	0.13	3.44	NA	NA	0.08	3.25	0.13	3.7	NA	NA	08001	CO	Adams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adams	2020-09-01	School	0.08	1.83	0.07	1.72	NA	NA	0.1	1.86	NA	NA	0.07	1.88	0.11	2.07	0.07	2.17	08001	CO	Adams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adams	2021-09-01	Child Care/Preschool	1.01	1.19	0.94	1.25	1.04	1.05	0.99	1.02	0.91	1.01	1.05	1.11	1.02	1.11	NA	NA	08001	CO	Adams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adams	2021-09-01	Kindergarten	0.11	3.66	0.11	3.27	NA	NA	0.15	3.54	NA	NA	0.13	3.59	0.18	3.66	NA	NA	08001	CO	Adams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adams	2021-09-01	School	0.07	1.75	0.06	1.66	NA	NA	0.1	1.72	NA	NA	0.07	1.77	0.11	1.85	0.07	2.4	08001	CO	Adams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adams	2022-09-01	Child Care/Preschool	0.03	1.22	0.03	1.19	0.04	1.18	0.05	1.19	0.03	1.18	0.03	1.2	0.04	1.24	NA	NA	08001	CO	Adams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adams	2022-09-01	Kindergarten	0.05	2.46	0.05	2.35	NA	NA	0.09	2.63	NA	NA	0.05	2.52	0.09	2.73	NA	NA	08001	CO	Adams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adams	2022-09-01	School	0.08	1.46	0.07	1.43	NA	NA	0.1	1.49	NA	NA	0.06	1.53	0.13	1.69	0.09	1.77	08001	CO	Adams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adams	2023-09-01	Child Care/Preschool	0.06	1.38	0.06	1.42	0.06	1.31	0.06	1.37	0.06	1.38	0.06	1.31	0.06	1.37	NA	NA	08001	CO	Adams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adams	2023-09-01	Kindergarten	0.1	3.58	0.05	2.82	NA	NA	0.19	3.51	NA	NA	0.1	3.56	0.14	3.58	NA	NA	08001	CO	Adams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adams	2023-09-01	School	0.06	1.86	0.05	1.69	NA	NA	0.09	1.84	NA	NA	0.06	1.87	0.13	1.99	0.08	2.49	08001	CO	Adams	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
