"school_name","school_type","address","city","zipcode","planning_region","ex_rel","ex_med","ex_tot"
"Andover Elementary School","Public","35 School Rd.","Andover","06232","Capitol","0.4","1.2","1.6"
"Ansonia High School","Public","20 Pulaski Hwy.","Ansonia","06401","Naugatuck Valley","0.0","0.0","0.0"
"Ansonia Middle School","Public","115 Howard Ave.","Ansonia","06401","Naugatuck Valley","0.2","0.2","0.4"
"Assumption-Ansonia","Non-public","51 North Cliff Street","Ansonia","06401","Naugatuck Valley","3.3","1.9","5.2"
"Emmett O'Brien Technical High School","Public","141 Prindle Ave.","Ansonia","06401","Naugatuck Valley","1.9","0.0","1.9"
"Mead School","Public","75 Ford St.","Ansonia","06401","Naugatuck Valley","0.0","0.0","0.0"
"Prendergast School","Public","59 Finney St.","Ansonia","06401","Naugatuck Valley","0.0","0.0","0.0"
"Ashford School","Public","440 Westford Rd.","Ashford","06278","Northeast CT","1.4","1.1","2.4"
"Avon High School","Public","510 West Avon Rd.","Avon","06001","Capitol","0.4","0.3","0.8"
"Avon Middle School","Public","375 West Avon Rd.","Avon","06001","Capitol","2.5","0.2","2.7"
"Avon Old Farms School","Non-public","500 Old Farms Road","Avon","06001","Capitol","0.2","0.7","1.0"
"Farmington Valley Academy Montessori","Public","150 Fisher Drive","Avon","06001","Capitol","3.1","0.0","3.1"
"Pine Grove School","Public","151 Scoville Rd.","Avon","06001","Capitol","0.0","0.7","0.7"
"Reggio Magnet School of the Arts","Non-public","59 Waterville Road","Avon","06001","Capitol","DNC","DNC","DNC"
"Roaring Brook School","Public","30 Old Wheeler Ln.","Avon","06001","Capitol","0.0","0.9","0.9"
"Talcott Mt. Academy of Science Math & Technology","Non-public","324 Montevideo Road","Avon","06001","Capitol","0.0","0.0","0.0"
"The Webb School in the Valley","Non-public","135 Darling Drive","Avon","06001","Capitol","DS","DS","DS"
"Thompson Brook School","Public","150 Thompson Rd.","Avon","06001","Capitol","4.3","0.2","4.5"
"Barkhamsted Elementary School","Public","65 Ripley Hill Rd.","Barkhamsted","06063","Northwest Hills","2.1","0.0","2.1"
"Laurel Ledge School","Public","30 Highland Ave.","Beacon Falls","06403","Naugatuck Valley","0.3","2.3","2.7"
"Woodland Regional High School","Public","135 Back Rimmon Rd.","Beacon Falls","06403","Naugatuck Valley","3.4","0.7","4.1"
"Berlin High School","Public","139 Patterson Way","Berlin","06037","Capitol","3.2","0.1","3.3"
"Catherine M. McGee Middle School","Public","899 Norton Rd.","Berlin","06037","Capitol","4.0","0.0","4.0"
"Emma Hart Willard School","Public","1088 Norton Rd.","Berlin","06037","Capitol","0.0","0.2","0.2"
