"Census","County","State","TotalPop4_18yrs","TotalExempt4_18yrs"
"Census Tract 8.06"," Bay County"," Florida",641,24
"Census Tract 8.04"," Bay County"," Florida",420,14
"Census Tract 8.05"," Bay County"," Florida",852,35
"Census Tract 8.03"," Bay County"," Florida",1046,31
"Census Tract 26.07"," Bay County"," Florida",127,5
"Census Tract 9900"," Bay County"," Florida",0,0
"Census Tract 26.04"," Bay County"," Florida",1178,59
"Census Tract 26.08"," Bay County"," Florida",451,29
"Census Tract 24"," Bay County"," Florida",674,26
"Census Tract 14.03"," Bay County"," Florida",368,23
"Census Tract 27.05"," Bay County"," Florida",230,46
"Census Tract 26.05"," Bay County"," Florida",130,6
"Census Tract 26.06"," Bay County"," Florida",187,12
"Census Tract 26.03"," Bay County"," Florida",301,33
"Census Tract 27.04"," Bay County"," Florida",966,98
"Census Tract 27.03"," Bay County"," Florida",565,38
"Census Tract 2.01"," Bay County"," Florida",969,44
"Census Tract 23"," Bay County"," Florida",613,27
"Census Tract 4"," Bay County"," Florida",1594,42
"Census Tract 6"," Bay County"," Florida",111,9
"Census Tract 7"," Bay County"," Florida",744,45
"Census Tract 5"," Bay County"," Florida",1051,42
"Census Tract 9"," Bay County"," Florida",756,19
"Census Tract 10"," Bay County"," Florida",439,21
"Census Tract 11"," Bay County"," Florida",1033,34
"Census Tract 12"," Bay County"," Florida",733,13
"Census Tract 15.02"," Bay County"," Florida",914,36
"Census Tract 14.02"," Bay County"," Florida",1327,50
"Census Tract 18"," Bay County"," Florida",284,6
"Census Tract 25"," Bay County"," Florida",482,7
"Census Tract 16"," Bay County"," Florida",730,12
"Census Tract 17"," Bay County"," Florida",722,12
"Census Tract 19"," Bay County"," Florida",566,38
"Census Tract 20"," Bay County"," Florida",175,9
"Census Tract 22"," Bay County"," Florida",889,51
"Census Tract 15.01"," Bay County"," Florida",873,38
"Census Tract 26.01"," Bay County"," Florida",342,29
"Census Tract 3"," Bay County"," Florida",1563,62
"Census Tract 2.02"," Bay County"," Florida",998,55
"Census Tract 14.04"," Bay County"," Florida",1271,52
"Census Tract 27.01"," Bay County"," Florida",514,49
"Census Tract 13.02"," Bay County"," Florida",1524,41
"Census Tract 27.02"," Bay County"," Florida",345,26
"Census Tract 13.01"," Bay County"," Florida",1080,49
