"Census","County","State","TotalPop4_18yrs","TotalExempt4_18yrs"
"Census Tract 104.01"," Collier County"," Florida",559,"57"
"Census Tract 104.05"," Collier County"," Florida",2067,"177"
"Census Tract 104.14"," Collier County"," Florida",1768,"159"
"Census Tract 104.11"," Collier County"," Florida",1551,"55"
"Census Tract 104.13"," Collier County"," Florida",1529,"131"
"Census Tract 108.02"," Collier County"," Florida",2227,"57"
"Census Tract 107.02"," Collier County"," Florida",535,"30"
"Census Tract 102.15"," Collier County"," Florida",24,"<5"
"Census Tract 101.07"," Collier County"," Florida",744,"63"
"Census Tract 101.09"," Collier County"," Florida",248,"25"
"Census Tract 104.15"," Collier County"," Florida",3301,"329"
"Census Tract 104.19"," Collier County"," Florida",669,"12"
"Census Tract 109.04"," Collier County"," Florida",162,"11"
"Census Tract 110.01"," Collier County"," Florida",33,"6"
"Census Tract 107.01"," Collier County"," Florida",606,"51"
"Census Tract 106.01"," Collier County"," Florida",397,"20"
"Census Tract 106.02"," Collier County"," Florida",430,"35"
"Census Tract 2"," Collier County"," Florida",319,"33"
"Census Tract 3.02"," Collier County"," Florida",233,"31"
"Census Tract 104.10"," Collier County"," Florida",1767,"42"
"Census Tract 6"," Collier County"," Florida",164,"25"
"Census Tract 7"," Collier County"," Florida",260,"6"
"Census Tract 103"," Collier County"," Florida",642,"57"
"Census Tract 113.01"," Collier County"," Florida",1756,"6"
"Census Tract 108.01"," Collier County"," Florida",276,"28"
"Census Tract 104.12"," Collier County"," Florida",1871,"224"
"Census Tract 104.08"," Collier County"," Florida",622,"79"
"Census Tract 106.04"," Collier County"," Florida",296,"19"
"Census Tract 102.05"," Collier County"," Florida",405,"37"
"Census Tract 1.02"," Collier County"," Florida",103,"12"
"Census Tract 4.01"," Collier County"," Florida",26,"<5"
"Census Tract 4.02"," Collier County"," Florida",17,"<5"
"Census Tract 101.06"," Collier County"," Florida",217,"34"
"Census Tract 102.09"," Collier County"," Florida",139,"10"
"Census Tract 101.05"," Collier County"," Florida",356,"31"
"Census Tract 109.05"," Collier County"," Florida",161,"20"
"Census Tract 104.18"," Collier County"," Florida",451,"58"
"Census Tract 102.10"," Collier County"," Florida",296,"35"
"Census Tract 108.03"," Collier County"," Florida",575,"34"
"Census Tract 111.02"," Collier County"," Florida",864,"69"
"Census Tract 109.02"," Collier County"," Florida",430,"27"
"Census Tract 102.11"," Collier County"," Florida",109,"21"
"Census Tract 102.12"," Collier County"," Florida",1077,"108"
"Census Tract 101.08"," Collier County"," Florida",314,"32"
"Census Tract 102.13"," Collier County"," Florida",389,"45"
"Census Tract 101.10"," Collier County"," Florida",691,"78"
"Census Tract 102.08"," Collier County"," Florida",108,"7"
"Census Tract 104.16"," Collier County"," Florida",906,"101"
"Census Tract 112.01"," Collier County"," Florida",692,"169"
"Census Tract 112.02"," Collier County"," Florida",4781,"503"
"Census Tract 114"," Collier County"," Florida",1176,"6"
"Census Tract 112.05"," Collier County"," Florida",798,"7"
"Census Tract 3.01"," Collier County"," Florida",375,"41"
"Census Tract 5"," Collier County"," Florida",239,"21"
"Census Tract 112.04"," Collier County"," Florida",964,"<5"
"Census Tract 1.01"," Collier County"," Florida",65,"9"
"Census Tract 101.02"," Collier County"," Florida",629,"75"
"Census Tract 104.17"," Collier County"," Florida",734,"102"
"Census Tract 104.20"," Collier County"," Florida",1478,"19"
"Census Tract 105.05"," Collier County"," Florida",1273,"67"
"Census Tract 105.06"," Collier County"," Florida",908,"48"
"Census Tract 109.03"," Collier County"," Florida",588,"42"
"Census Tract 111.06"," Collier County"," Florida",431,"24"
"Census Tract 111.03"," Collier County"," Florida",447,"6"
"Census Tract 105.09"," Collier County"," Florida",457,"30"
"Census Tract 105.08"," Collier County"," Florida",552,"51"
"Census Tract 105.07"," Collier County"," Florida",536,"28"
"Census Tract 105.10"," Collier County"," Florida",69,"6"
"Census Tract 106.05"," Collier County"," Florida",418,"21"
"Census Tract 106.06"," Collier County"," Florida",214,"20"
"Census Tract 110.02"," Collier County"," Florida",12,"5"
"Census Tract 111.05"," Collier County"," Florida",306,"20"
"Census Tract 113.02"," Collier County"," Florida",1952,"16"
