"Census","County","State","TotalPop4_18yrs","TotalExempt4_18yrs"
"Census Tract 683"," Brevard County"," Florida",93,"21"
"Census Tract 684"," Brevard County"," Florida",240,"11"
"Census Tract 686.01"," Brevard County"," Florida",161,"9"
"Census Tract 685.02"," Brevard County"," Florida",202,"17"
"Census Tract 686.02"," Brevard County"," Florida",331,"31"
"Census Tract 9800"," Brevard County"," Florida",0,"0"
"Census Tract 713.36"," Brevard County"," Florida",1217,"71"
"Census Tract 641.23"," Brevard County"," Florida",832,"72"
"Census Tract 661.03"," Brevard County"," Florida",161,"20"
"Census Tract 713.35"," Brevard County"," Florida",951,"46"
"Census Tract 699.01"," Brevard County"," Florida",1565,"96"
"Census Tract 711"," Brevard County"," Florida",425,"25"
"Census Tract 682"," Brevard County"," Florida",337,"32"
"Census Tract 631.02"," Brevard County"," Florida",1444,"81"
"Census Tract 621.03"," Brevard County"," Florida",1351,"76"
"Census Tract 624"," Brevard County"," Florida",1437,"69"
"Census Tract 625"," Brevard County"," Florida",681,"52"
"Census Tract 626"," Brevard County"," Florida",712,"37"
"Census Tract 628"," Brevard County"," Florida",503,"21"
"Census Tract 607"," Brevard County"," Florida",704,"18"
"Census Tract 666"," Brevard County"," Florida",687,"74"
"Census Tract 716"," Brevard County"," Florida",642,"45"
"Census Tract 715"," Brevard County"," Florida",292,"23"
"Census Tract 647"," Brevard County"," Florida",377,"33"
"Census Tract 681.02"," Brevard County"," Florida",447,"28"
"Census Tract 9801"," Brevard County"," Florida",0,"0"
"Census Tract 671"," Brevard County"," Florida",257,"27"
"Census Tract 629"," Brevard County"," Florida",891,"56"
"Census Tract 630"," Brevard County"," Florida",795,"54"
"Census Tract 712"," Brevard County"," Florida",2646,"214"
"Census Tract 661.01"," Brevard County"," Florida",658,"59"
"Census Tract 662"," Brevard County"," Florida",381,"43"
"Census Tract 663.01"," Brevard County"," Florida",1048,"99"
"Census Tract 663.02"," Brevard County"," Florida",741,"70"
"Census Tract 713.34"," Brevard County"," Florida",1913,"129"
