"Census","County","State","TotalPop4_18yrs","TotalExempt4_18yrs"
"Census Tract 9602"," Highlands County"," Florida",693,"29"
"Census Tract 9603"," Highlands County"," Florida",1045,"21"
"Census Tract 9604"," Highlands County"," Florida",1396,"43"
"Census Tract 9614"," Highlands County"," Florida",695,"35"
"Census Tract 9615"," Highlands County"," Florida",685,"63"
"Census Tract 9617"," Highlands County"," Florida",996,"30"
"Census Tract 9607"," Highlands County"," Florida",499,"31"
"Census Tract 9609"," Highlands County"," Florida",476,"16"
"Census Tract 9610"," Highlands County"," Florida",568,"32"
"Census Tract 9611"," Highlands County"," Florida",561,"27"
"Census Tract 9612"," Highlands County"," Florida",842,"40"
"Census Tract 9608"," Highlands County"," Florida",459,"19"
"Census Tract 9802"," Highlands County"," Florida",0,"0"
"Census Tract 9601.01"," Highlands County"," Florida",203,"17"
"Census Tract 9801"," Highlands County"," Florida",0,"0"
"Census Tract 9605.02"," Highlands County"," Florida",800,"35"
"Census Tract 9613.02"," Highlands County"," Florida",396,"30"
"Census Tract 9613.01"," Highlands County"," Florida",1105,"74"
"Census Tract 9606.02"," Highlands County"," Florida",530,"39"
"Census Tract 9800"," Highlands County"," Florida",4,"0"
"Census Tract 9616.03"," Highlands County"," Florida",1103,"35"
"Census Tract 9616.02"," Highlands County"," Florida",170,"<5"
"Census Tract 9601.03"," Highlands County"," Florida",764,"18"
"Census Tract 9605.01"," Highlands County"," Florida",126,"<5"
"Census Tract 9601.02"," Highlands County"," Florida",300,"10"
"Census Tract 9606.01"," Highlands County"," Florida",468,"22"
"Census Tract 9616.01"," Highlands County"," Florida",159,"5"
