"Census","County","State","TotalPop4_18yrs","TotalExempt4_18yrs"
"Census Tract 509.02"," Indian River County"," Florida",905,32
"Census Tract 503.02"," Indian River County"," Florida",1216,36
"Census Tract 507.03"," Indian River County"," Florida",1747,75
"Census Tract 508.02"," Indian River County"," Florida",1516,77
"Census Tract 508.04"," Indian River County"," Florida",1118,88
"Census Tract 506.03"," Indian River County"," Florida",1001,73
"Census Tract 506.04"," Indian River County"," Florida",18,0
"Census Tract 506.05"," Indian River County"," Florida",86,9
"Census Tract 506.06"," Indian River County"," Florida",2509,137
"Census Tract 502"," Indian River County"," Florida",599,49
"Census Tract 503.01"," Indian River County"," Florida",359,24
"Census Tract 501"," Indian River County"," Florida",979,51
"Census Tract 506.01"," Indian River County"," Florida",230,19
"Census Tract 506.02"," Indian River County"," Florida",847,55
"Census Tract 507.02"," Indian River County"," Florida",1022,55
"Census Tract 504.01"," Indian River County"," Florida",448,21
"Census Tract 504.02"," Indian River County"," Florida",242,19
"Census Tract 505.03"," Indian River County"," Florida",637,34
"Census Tract 507.04"," Indian River County"," Florida",309,14
"Census Tract 507.05"," Indian River County"," Florida",291,32
"Census Tract 508.06"," Indian River County"," Florida",672,38
"Census Tract 508.07"," Indian River County"," Florida",710,37
"Census Tract 508.08"," Indian River County"," Florida",500,24
"Census Tract 509.03"," Indian River County"," Florida",1607,87
"Census Tract 505.04"," Indian River County"," Florida",135,9
"Census Tract 505.05"," Indian River County"," Florida",264,14
"Census Tract 508.05"," Indian River County"," Florida",480,35
"Census Tract 509.04"," Indian River County"," Florida",1905,47
"Census Tract 9800"," Indian River County"," Florida",0,0
"Census Tract 505.01"," Indian River County"," Florida",233,7
