"Census","County","State","TotalPop4_18yrs","TotalExempt4_18yrs"
"Census Tract 23.03"," Leon County"," Florida",878,"41"
"Census Tract 11.02"," Leon County"," Florida",445,"9"
"Census Tract 16.01"," Leon County"," Florida",645,"29"
"Census Tract 16.02"," Leon County"," Florida",492,"16"
"Census Tract 17"," Leon County"," Florida",1161,"35"
"Census Tract 24.08"," Leon County"," Florida",1798,"46"
"Census Tract 18.01"," Leon County"," Florida",959,"27"
"Census Tract 3.01"," Leon County"," Florida",165,"19"
"Census Tract 2"," Leon County"," Florida",348,"21"
"Census Tract 18.02"," Leon County"," Florida",1062,"38"
"Census Tract 3.02"," Leon County"," Florida",277,"23"
"Census Tract 4"," Leon County"," Florida",703,"12"
"Census Tract 5"," Leon County"," Florida",212,"<5"
"Census Tract 6"," Leon County"," Florida",435,"33"
"Census Tract 7"," Leon County"," Florida",157,"20"
"Census Tract 8"," Leon County"," Florida",404,"15"
"Census Tract 9.01"," Leon County"," Florida",1100,"73"
"Census Tract 10.01"," Leon County"," Florida",763,"26"
"Census Tract 10.02"," Leon County"," Florida",471,"13"
"Census Tract 11.01"," Leon County"," Florida",694,"14"
"Census Tract 12"," Leon County"," Florida",164,"5"
"Census Tract 15"," Leon County"," Florida",578,"24"
"Census Tract 22.01"," Leon County"," Florida",854,"33"
"Census Tract 24.03"," Leon County"," Florida",537,"17"
"Census Tract 24.10"," Leon County"," Florida",1073,"36"
"Census Tract 23.04"," Leon County"," Florida",551,"21"
"Census Tract 23.02"," Leon County"," Florida",720,"22"
"Census Tract 21.01"," Leon County"," Florida",520,"31"
"Census Tract 3.03"," Leon County"," Florida",537,"16"
"Census Tract 25.05"," Leon County"," Florida",836,"34"
"Census Tract 20.06"," Leon County"," Florida",175,"7"
"Census Tract 13"," Leon County"," Florida",1952,"0"
"Census Tract 14.02"," Leon County"," Florida",686,"14"
"Census Tract 9.04"," Leon County"," Florida",305,"25"
"Census Tract 25.10"," Leon County"," Florida",1498,"59"
"Census Tract 25.09"," Leon County"," Florida",456,"30"
"Census Tract 9.05"," Leon County"," Florida",284,"7"
"Census Tract 26.06"," Leon County"," Florida",589,"15"
"Census Tract 25.07"," Leon County"," Florida",568,"9"
"Census Tract 26.04"," Leon County"," Florida",629,"29"
"Census Tract 26.05"," Leon County"," Florida",863,"37"
"Census Tract 20.05"," Leon County"," Florida",125,"6"
"Census Tract 21.03"," Leon County"," Florida",174,"14"
"Census Tract 25.13"," Leon County"," Florida",903,"17"
"Census Tract 19.02"," Leon County"," Florida",952,"19"
"Census Tract 19.01"," Leon County"," Florida",446,"18"
"Census Tract 20.04"," Leon County"," Florida",516,"26"
"Census Tract 21.04"," Leon County"," Florida",670,"29"
"Census Tract 22.06"," Leon County"," Florida",596,"29"
"Census Tract 22.08"," Leon County"," Florida",878,"34"
"Census Tract 24.17"," Leon County"," Florida",2088,"62"
"Census Tract 24.11"," Leon County"," Florida",353,"7"
"Census Tract 27.02"," Leon County"," Florida",1007,"27"
"Census Tract 26.03"," Leon County"," Florida",1034,"24"
"Census Tract 27.01"," Leon County"," Florida",948,"29"
"Census Tract 20.03"," Leon County"," Florida",207,"8"
"Census Tract 24.13"," Leon County"," Florida",593,"18"
"Census Tract 25.08"," Leon County"," Florida",2052,"92"
"Census Tract 24.12"," Leon County"," Florida",2357,"60"
"Census Tract 25.12"," Leon County"," Florida",770,"30"
"Census Tract 24.15"," Leon County"," Florida",827,"29"
"Census Tract 24.16"," Leon County"," Florida",567,"13"
"Census Tract 25.11"," Leon County"," Florida",210,"7"
"Census Tract 24.14"," Leon County"," Florida",781,"28"
"Census Tract 22.05"," Leon County"," Florida",1108,"55"
"Census Tract 22.07"," Leon County"," Florida",284,"29"
"Census Tract 14.01"," Leon County"," Florida",356,"14"
"Census Tract 9.03"," Leon County"," Florida",238,"17"
