"Census","County","State","TotalPop4_18yrs","TotalExempt4_18yrs"
"Census Tract 7.01"," Marion County"," Florida",954,80
"Census Tract 7.02"," Marion County"," Florida",782,39
"Census Tract 9.01"," Marion County"," Florida",1052,59
"Census Tract 9.02"," Marion County"," Florida",1973,109
"Census Tract 11.02"," Marion County"," Florida",562,25
"Census Tract 27.01"," Marion County"," Florida",868,72
"Census Tract 27.02"," Marion County"," Florida",636,62
"Census Tract 6.01"," Marion County"," Florida",593,39
"Census Tract 6.02"," Marion County"," Florida",906,52
"Census Tract 3.01"," Marion County"," Florida",743,32
"Census Tract 3.02"," Marion County"," Florida",750,35
"Census Tract 13.01"," Marion County"," Florida",1240,76
"Census Tract 13.02"," Marion County"," Florida",1128,64
"Census Tract 14.01"," Marion County"," Florida",1174,36
"Census Tract 14.02"," Marion County"," Florida",700,66
"Census Tract 15"," Marion County"," Florida",723,23
"Census Tract 19"," Marion County"," Florida",327,28
"Census Tract 22.01"," Marion County"," Florida",550,46
"Census Tract 22.02"," Marion County"," Florida",637,45
"Census Tract 22.03"," Marion County"," Florida",1458,84
"Census Tract 23.01"," Marion County"," Florida",1008,63
"Census Tract 23.02"," Marion County"," Florida",1363,77
"Census Tract 24.01"," Marion County"," Florida",889,52
"Census Tract 24.02"," Marion County"," Florida",1108,65
"Census Tract 25.02"," Marion County"," Florida",1834,125
"Census Tract 16"," Marion County"," Florida",565,12
"Census Tract 17"," Marion County"," Florida",1223,37
"Census Tract 18"," Marion County"," Florida",400,11
"Census Tract 20.01"," Marion County"," Florida",347,18
"Census Tract 20.02"," Marion County"," Florida",721,56
"Census Tract 21"," Marion County"," Florida",1026,66
"Census Tract 1"," Marion County"," Florida",799,32
"Census Tract 2"," Marion County"," Florida",1297,46
"Census Tract 25.04"," Marion County"," Florida",769,29
"Census Tract 25.03"," Marion County"," Florida",982,54
"Census Tract 4.02"," Marion County"," Florida",909,46
"Census Tract 5.02"," Marion County"," Florida",157,18
"Census Tract 5.01"," Marion County"," Florida",224,12
"Census Tract 6.05"," Marion County"," Florida",417,23
"Census Tract 6.04"," Marion County"," Florida",771,17
"Census Tract 12.05"," Marion County"," Florida",401,19
"Census Tract 12.07"," Marion County"," Florida",2653,137
"Census Tract 12.06"," Marion County"," Florida",384,22
"Census Tract 12.04"," Marion County"," Florida",1609,84
"Census Tract 8.02"," Marion County"," Florida",1141,70
"Census Tract 11.04"," Marion County"," Florida",1093,82
"Census Tract 11.03"," Marion County"," Florida",1532,80
"Census Tract 10.04"," Marion County"," Florida",2623,149
"Census Tract 10.03"," Marion County"," Florida",290,10
"Census Tract 10.05"," Marion County"," Florida",1124,69
"Census Tract 10.06"," Marion County"," Florida",1319,88
"Census Tract 10.08"," Marion County"," Florida",278,9
"Census Tract 26.06"," Marion County"," Florida",23,8
"Census Tract 26.05"," Marion County"," Florida",98,7
"Census Tract 9800"," Marion County"," Florida",0,0
"Census Tract 8.01"," Marion County"," Florida",756,54
"Census Tract 10.07"," Marion County"," Florida",545,48
"Census Tract 26.04"," Marion County"," Florida",619,53
"Census Tract 4.01"," Marion County"," Florida",411,22
"Census Tract 12.08"," Marion County"," Florida",695,33
"Census Tract 9801"," Marion County"," Florida",0,0
"Census Tract 26.01"," Marion County"," Florida",1100,63
"Census Tract 26.02"," Marion County"," Florida",1246,57
