attributes.Geography,attributes.TotalPop4_18,attributes.Exempt,,
Census Tract 1, Martin County, Florida,82,6
Census Tract 3, Martin County, Florida,735,68
Census Tract 4, Martin County, Florida,1393,112
Census Tract 5.01, Martin County, Florida,583,59
Census Tract 7, Martin County, Florida,217,23
Census Tract 9.02, Martin County, Florida,589,46
Census Tract 10, Martin County, Florida,895,59
Census Tract 11.02, Martin County, Florida,750,79
Census Tract 11.04, Martin County, Florida,1586,110
Census Tract 12, Martin County, Florida,426,18
Census Tract 13.01, Martin County, Florida,877,21
Census Tract 14.10, Martin County, Florida,737,46
Census Tract 17, Martin County, Florida,1800,185
Census Tract 8, Martin County, Florida,383,23
Census Tract 16.01, Martin County, Florida,512,39
Census Tract 18.01, Martin County, Florida,1642,31
Census Tract 2, Martin County, Florida,384,47
Census Tract 5.02, Martin County, Florida,434,27
Census Tract 6.03, Martin County, Florida,1259,105
Census Tract 6.04, Martin County, Florida,1362,74
Census Tract 6.07, Martin County, Florida,218,10
Census Tract 6.10, Martin County, Florida,686,57
Census Tract 9.01, Martin County, Florida,60,10
Census Tract 11.03, Martin County, Florida,194,43
Census Tract 13.02, Martin County, Florida,389,48
Census Tract 14.04, Martin County, Florida,901,106
Census Tract 14.06, Martin County, Florida,587,50
Census Tract 14.07, Martin County, Florida,34,8
Census Tract 14.08, Martin County, Florida,458,42
Census Tract 14.09, Martin County, Florida,332,19
Census Tract 15, Martin County, Florida,366,22
Census Tract 16.02, Martin County, Florida,198,18
Census Tract 18.02, Martin County, Florida,372,14
Census Tract 6.06, Martin County, Florida,1029,90
Census Tract 9901, Martin County, Florida,0,0
