"Census","County","State","TotalPop4_18yrs","TotalExempt4_18yrs"
"Census Tract 504"," Nassau County"," Florida",1948,59
"Census Tract 505.02"," Nassau County"," Florida",1542,37
"Census Tract 503.02"," Nassau County"," Florida",1323,70
"Census Tract 503.03"," Nassau County"," Florida",2353,143
"Census Tract 503.01"," Nassau County"," Florida",1586,128
"Census Tract 501.02"," Nassau County"," Florida",439,22
"Census Tract 502.02"," Nassau County"," Florida",989,35
"Census Tract 501.01"," Nassau County"," Florida",903,53
"Census Tract 505.04"," Nassau County"," Florida",895,15
"Census Tract 505.03"," Nassau County"," Florida",1383,58
"Census Tract 502.01"," Nassau County"," Florida",68,7
"Census Tract 502.03"," Nassau County"," Florida",353,15
