"Census","County","State","TotalPop4_18yrs","TotalExempt4_18yrs"
"Census Tract 77.63"," Palm Beach County"," Florida",1928,"108"
"Census Tract 77.64"," Palm Beach County"," Florida",325,"12"
"Census Tract 77.65"," Palm Beach County"," Florida",2086,"127"
"Census Tract 77.66"," Palm Beach County"," Florida",526,"30"
"Census Tract 78.08"," Palm Beach County"," Florida",1249,"89"
"Census Tract 78.12"," Palm Beach County"," Florida",1043,"56"
"Census Tract 78.13"," Palm Beach County"," Florida",1483,"73"
"Census Tract 78.14"," Palm Beach County"," Florida",250,"11"
"Census Tract 78.17"," Palm Beach County"," Florida",1795,"96"
"Census Tract 77.67"," Palm Beach County"," Florida",578,"21"
"Census Tract 78.05"," Palm Beach County"," Florida",1165,"114"
"Census Tract 78.09"," Palm Beach County"," Florida",779,"52"
"Census Tract 78.18"," Palm Beach County"," Florida",288,"12"
"Census Tract 78.21"," Palm Beach County"," Florida",574,"27"
"Census Tract 78.22"," Palm Beach County"," Florida",1334,"134"
"Census Tract 78.23"," Palm Beach County"," Florida",880,"93"
"Census Tract 78.20"," Palm Beach County"," Florida",545,"28"
"Census Tract 78.28"," Palm Beach County"," Florida",240,"26"
"Census Tract 78.31"," Palm Beach County"," Florida",438,"36"
"Census Tract 78.32"," Palm Beach County"," Florida",342,"23"
"Census Tract 78.33"," Palm Beach County"," Florida",1059,"53"
"Census Tract 78.34"," Palm Beach County"," Florida",75,"11"
"Census Tract 78.35"," Palm Beach County"," Florida",595,"48"
"Census Tract 78.36"," Palm Beach County"," Florida",1369,"94"
"Census Tract 78.37"," Palm Beach County"," Florida",687,"51"
"Census Tract 78.30"," Palm Beach County"," Florida",312,"31"
"Census Tract 78.39"," Palm Beach County"," Florida",1463,"61"
"Census Tract 81.02"," Palm Beach County"," Florida",0,"0"
"Census Tract 82.01"," Palm Beach County"," Florida",993,"12"
"Census Tract 82.02"," Palm Beach County"," Florida",626,"<5"
"Census Tract 82.03"," Palm Beach County"," Florida",1486,"10"
"Census Tract 83.01"," Palm Beach County"," Florida",524,"<5"
"Census Tract 4.08"," Palm Beach County"," Florida",225,"30"
"Census Tract 78.38"," Palm Beach County"," Florida",1706,"75"
"Census Tract 79.08"," Palm Beach County"," Florida",2187,"111"
"Census Tract 79.09"," Palm Beach County"," Florida",441,"27"
"Census Tract 79.10"," Palm Beach County"," Florida",1846,"124"
"Census Tract 79.12"," Palm Beach County"," Florida",2448,"139"
"Census Tract 80.01"," Palm Beach County"," Florida",938,"<5"
"Census Tract 80.02"," Palm Beach County"," Florida",1154,"12"
"Census Tract 9.04"," Palm Beach County"," Florida",492,"41"
"Census Tract 11.02"," Palm Beach County"," Florida",137,"15"
"Census Tract 16"," Palm Beach County"," Florida",645,"21"
"Census Tract 17"," Palm Beach County"," Florida",694,"35"
"Census Tract 19.08"," Palm Beach County"," Florida",1113,"46"
"Census Tract 19.13"," Palm Beach County"," Florida",6,"<5"
"Census Tract 22"," Palm Beach County"," Florida",437,"26"
"Census Tract 36"," Palm Beach County"," Florida",971,"52"
"Census Tract 47.05"," Palm Beach County"," Florida",1168,"27"
"Census Tract 58.15"," Palm Beach County"," Florida",852,"24"
"Census Tract 59.44"," Palm Beach County"," Florida",5,"<5"
"Census Tract 83.02"," Palm Beach County"," Florida",923,"14"
"Census Tract 9800"," Palm Beach County"," Florida",0,"0"
"Census Tract 9801"," Palm Beach County"," Florida",4,"0"
"Census Tract 9802"," Palm Beach County"," Florida",4,"0"
"Census Tract 9804"," Palm Beach County"," Florida",0,"0"
"Census Tract 14.04"," Palm Beach County"," Florida",940,"32"
"Census Tract 70.10"," Palm Beach County"," Florida",23,"5"
"Census Tract 77.56"," Palm Beach County"," Florida",629,"49"
"Census Tract 1.02"," Palm Beach County"," Florida",305,"21"
"Census Tract 2.08"," Palm Beach County"," Florida",776,"62"
"Census Tract 2.09"," Palm Beach County"," Florida",940,"136"
"Census Tract 2.13"," Palm Beach County"," Florida",372,"17"
"Census Tract 2.14"," Palm Beach County"," Florida",1914,"70"
"Census Tract 81.01"," Palm Beach County"," Florida",1501,"15"
"Census Tract 2.15"," Palm Beach County"," Florida",1552,"237"
"Census Tract 3.01"," Palm Beach County"," Florida",305,"22"
"Census Tract 3.03"," Palm Beach County"," Florida",589,"65"
"Census Tract 15"," Palm Beach County"," Florida",562,"36"
"Census Tract 18.01"," Palm Beach County"," Florida",1040,"26"
"Census Tract 19.04"," Palm Beach County"," Florida",444,"23"
"Census Tract 19.09"," Palm Beach County"," Florida",484,"16"
"Census Tract 21"," Palm Beach County"," Florida",848,"36"
"Census Tract 23"," Palm Beach County"," Florida",303,"16"
"Census Tract 24"," Palm Beach County"," Florida",378,"17"
"Census Tract 26"," Palm Beach County"," Florida",52,"14"
"Census Tract 27"," Palm Beach County"," Florida",395,"31"
"Census Tract 28"," Palm Beach County"," Florida",549,"39"
"Census Tract 29"," Palm Beach County"," Florida",1216,"33"
"Census Tract 30"," Palm Beach County"," Florida",1416,"26"
"Census Tract 3.04"," Palm Beach County"," Florida",811,"49"
"Census Tract 4.05"," Palm Beach County"," Florida",220,"25"
"Census Tract 4.06"," Palm Beach County"," Florida",128,"12"
