"Census","County","State","TotalPop4_18yrs","TotalExempt4_18yrs"
"Census Tract 322"," Pasco County"," Florida",819,"32"
"Census Tract 325"," Pasco County"," Florida",1258,"54"
"Census Tract 323"," Pasco County"," Florida",453,"27"
"Census Tract 327"," Pasco County"," Florida",408,"13"
"Census Tract 315.04"," Pasco County"," Florida",411,"32"
"Census Tract 320.01"," Pasco County"," Florida",1153,"103"
"Census Tract 311.01"," Pasco County"," Florida",582,"33"
"Census Tract 311.02"," Pasco County"," Florida",551,"43"
"Census Tract 310.03"," Pasco County"," Florida",987,"52"
"Census Tract 310.08"," Pasco County"," Florida",440,"25"
"Census Tract 317.04"," Pasco County"," Florida",1045,"38"
"Census Tract 319.02"," Pasco County"," Florida",1093,"98"
"Census Tract 319.03"," Pasco County"," Florida",1122,"86"
"Census Tract 320.07"," Pasco County"," Florida",548,"32"
"Census Tract 320.11"," Pasco County"," Florida",1250,"62"
"Census Tract 320.12"," Pasco County"," Florida",708,"43"
"Census Tract 321.05"," Pasco County"," Florida",1035,"128"
"Census Tract 312.07"," Pasco County"," Florida",452,"21"
"Census Tract 314.06"," Pasco County"," Florida",317,"9"
"Census Tract 314.07"," Pasco County"," Florida",360,"14"
"Census Tract 314.09"," Pasco County"," Florida",664,"50"
"Census Tract 315.05"," Pasco County"," Florida",1118,"53"
"Census Tract 315.07"," Pasco County"," Florida",1379,"87"
"Census Tract 315.08"," Pasco County"," Florida",1019,"55"
"Census Tract 314.01"," Pasco County"," Florida",633,"36"
"Census Tract 310.05"," Pasco County"," Florida",678,"30"
"Census Tract 310.07"," Pasco County"," Florida",908,"65"
"Census Tract 310.06"," Pasco County"," Florida",334,"11"
"Census Tract 309.01"," Pasco County"," Florida",622,"36"
"Census Tract 317.03"," Pasco County"," Florida",1022,"34"
"Census Tract 301.01"," Pasco County"," Florida",417,"36"
"Census Tract 303.01"," Pasco County"," Florida",307,"22"
"Census Tract 310.09"," Pasco County"," Florida",526,"24"
"Census Tract 321.03"," Pasco County"," Florida",1380,"97"
