"Census","County","State","TotalPop4_18yrs","TotalExempt4_18yrs"
"Census Tract 110"," Polk County"," Florida",599,"14"
"Census Tract 111"," Polk County"," Florida",812,"34"
"Census Tract 114"," Polk County"," Florida",811,"42"
"Census Tract 107.02"," Polk County"," Florida",429,"26"
"Census Tract 117.21"," Polk County"," Florida",734,"22"
"Census Tract 148.02"," Polk County"," Florida",685,"26"
"Census Tract 133"," Polk County"," Florida",481,"6"
"Census Tract 134"," Polk County"," Florida",1064,"39"
"Census Tract 135"," Polk County"," Florida",401,"25"
"Census Tract 136"," Polk County"," Florida",1052,"22"
"Census Tract 137.02"," Polk County"," Florida",1127,"47"
"Census Tract 138.01"," Polk County"," Florida",715,"28"
"Census Tract 138.02"," Polk County"," Florida",1569,"64"
"Census Tract 139.02"," Polk County"," Florida",867,"78"
"Census Tract 140.01"," Polk County"," Florida",935,"57"
"Census Tract 147.01"," Polk County"," Florida",871,"48"
"Census Tract 146"," Polk County"," Florida",1062,"30"
"Census Tract 137.01"," Polk County"," Florida",122,"8"
"Census Tract 139.01"," Polk County"," Florida",622,"20"
"Census Tract 116.03"," Polk County"," Florida",228,"<5"
"Census Tract 123.04"," Polk County"," Florida",1179,"67"
"Census Tract 122.04"," Polk County"," Florida",964,"46"
"Census Tract 123.09"," Polk County"," Florida",336,"10"
"Census Tract 123.06"," Polk County"," Florida",558,"23"
"Census Tract 124.03"," Polk County"," Florida",1926,"140"
"Census Tract 123.05"," Polk County"," Florida",360,"11"
"Census Tract 123.07"," Polk County"," Florida",638,"11"
"Census Tract 124.11"," Polk County"," Florida",1045,"64"
"Census Tract 125.07"," Polk County"," Florida",801,"36"
"Census Tract 125.04"," Polk County"," Florida",710,"105"
"Census Tract 117.22"," Polk County"," Florida",327,"9"
"Census Tract 117.04"," Polk County"," Florida",1139,"36"
"Census Tract 118.32"," Polk County"," Florida",1074,"42"
"Census Tract 117.31"," Polk County"," Florida",1088,"31"
"Census Tract 118.21"," Polk County"," Florida",573,"35"
"Census Tract 120.03"," Polk County"," Florida",742,"29"
"Census Tract 142.03"," Polk County"," Florida",232,"5"
"Census Tract 126.01"," Polk County"," Florida",788,"41"
"Census Tract 131.02"," Polk County"," Florida",600,"37"
"Census Tract 104.02"," Polk County"," Florida",653,"35"
"Census Tract 105.02"," Polk County"," Florida",699,"61"
"Census Tract 156.00"," Polk County"," Florida",190,"15"
