"Census","County","State","TotalPop4_18yrs","TotalExempt4_18yrs"
"Census Tract 12.04"," Sarasota County"," Florida",495,"87"
"Census Tract 12.03"," Sarasota County"," Florida",151,"10"
"Census Tract 12.02"," Sarasota County"," Florida",734,"48"
"Census Tract 11.02"," Sarasota County"," Florida",929,"33"
"Census Tract 13.03"," Sarasota County"," Florida",614,"62"
"Census Tract 26.01"," Sarasota County"," Florida",235,"21"
"Census Tract 27.12"," Sarasota County"," Florida",7709,"1195"
"Census Tract 27.11"," Sarasota County"," Florida",1474,"190"
"Census Tract 25.05"," Sarasota County"," Florida",345,"34"
"Census Tract 25.04"," Sarasota County"," Florida",349,"63"
"Census Tract 27.18"," Sarasota County"," Florida",460,"57"
"Census Tract 26.02"," Sarasota County"," Florida",180,"26"
"Census Tract 26.03"," Sarasota County"," Florida",159,"9"
"Census Tract 27.19"," Sarasota County"," Florida",150,"76"
"Census Tract 27.21"," Sarasota County"," Florida",648,"214"
"Census Tract 27.22"," Sarasota County"," Florida",1620,"274"
"Census Tract 23.05"," Sarasota County"," Florida",45,"<5"
"Census Tract 4.07"," Sarasota County"," Florida",549,"40"
"Census Tract 19.05"," Sarasota County"," Florida",57,"9"
"Census Tract 19.07"," Sarasota County"," Florida",69,"12"
"Census Tract 13.04"," Sarasota County"," Florida",255,"16"
"Census Tract 15.04"," Sarasota County"," Florida",447,"57"
"Census Tract 17.04"," Sarasota County"," Florida",510,"78"
"Census Tract 20.05"," Sarasota County"," Florida",503,"62"
"Census Tract 18.04"," Sarasota County"," Florida",380,"50"
"Census Tract 24.02"," Sarasota County"," Florida",278,"27"
"Census Tract 26.04"," Sarasota County"," Florida",202,"29"
"Census Tract 26.05"," Sarasota County"," Florida",177,"19"
"Census Tract 25.10"," Sarasota County"," Florida",331,"44"
"Census Tract 25.11"," Sarasota County"," Florida",225,"38"
"Census Tract 27.20"," Sarasota County"," Florida",199,"17"
"Census Tract 19.08"," Sarasota County"," Florida",50,"10"
"Census Tract 20.07"," Sarasota County"," Florida",148,"22"
"Census Tract 20.09"," Sarasota County"," Florida",645,"124"
"Census Tract 20.08"," Sarasota County"," Florida",289,"35"
"Census Tract 23.04"," Sarasota County"," Florida",111,"19"
"Census Tract 27.23"," Sarasota County"," Florida",167,"22"
"Census Tract 4.06"," Sarasota County"," Florida",513,"32"
"Census Tract 20.10"," Sarasota County"," Florida",668,"79"
"Census Tract 27.24"," Sarasota County"," Florida",4,"0"
"Census Tract 22.01"," Sarasota County"," Florida",275,"18"
"Census Tract 5.03"," Sarasota County"," Florida",531,"74"
"Census Tract 5.02"," Sarasota County"," Florida",521,"51"
"Census Tract 19.03"," Sarasota County"," Florida",215,"25"
"Census Tract 1.02"," Sarasota County"," Florida",571,"56"
"Census Tract 7"," Sarasota County"," Florida",122,"11"
"Census Tract 9"," Sarasota County"," Florida",249,"35"
"Census Tract 11.01"," Sarasota County"," Florida",451,"50"
"Census Tract 18.05"," Sarasota County"," Florida",166,"36"
"Census Tract 18.03"," Sarasota County"," Florida",380,"63"
"Census Tract 21"," Sarasota County"," Florida",854,"60"
"Census Tract 20.04"," Sarasota County"," Florida",364,"38"
"Census Tract 14.03"," Sarasota County"," Florida",916,"100"
"Census Tract 10"," Sarasota County"," Florida",395,"44"
"Census Tract 4.04"," Sarasota County"," Florida",70,"10"
"Census Tract 13.01"," Sarasota County"," Florida",401,"94"
"Census Tract 4.05"," Sarasota County"," Florida",545,"53"
"Census Tract 15.06"," Sarasota County"," Florida",867,"94"
"Census Tract 16.01"," Sarasota County"," Florida",385,"38"
"Census Tract 18.01"," Sarasota County"," Florida",457,"42"
"Census Tract 2"," Sarasota County"," Florida",904,"48"
"Census Tract 3"," Sarasota County"," Florida",887,"48"
"Census Tract 4.01"," Sarasota County"," Florida",635,"61"
"Census Tract 12.01"," Sarasota County"," Florida",1082,"93"
"Census Tract 17.03"," Sarasota County"," Florida",440,"57"
"Census Tract 19.04"," Sarasota County"," Florida",393,"45"
"Census Tract 1.01"," Sarasota County"," Florida",135,"43"
"Census Tract 14.01"," Sarasota County"," Florida",1584,"209"
"Census Tract 22.02"," Sarasota County"," Florida",425,"56"
"Census Tract 23.03"," Sarasota County"," Florida",147,"10"
"Census Tract 23.02"," Sarasota County"," Florida",189,"23"
"Census Tract 27.10"," Sarasota County"," Florida",316,"31"
"Census Tract 27.16"," Sarasota County"," Florida",723,"83"
"Census Tract 8.01"," Sarasota County"," Florida",39,"<5"
"Census Tract 27.14"," Sarasota County"," Florida",501,"76"
"Census Tract 15.07"," Sarasota County"," Florida",883,"92"
"Census Tract 17.02"," Sarasota County"," Florida",946,"82"
"Census Tract 15.05"," Sarasota County"," Florida",812,"69"
"Census Tract 13.02"," Sarasota County"," Florida",642,"77"
"Census Tract 14.02"," Sarasota County"," Florida",1019,"74"
"Census Tract 20.03"," Sarasota County"," Florida",564,"89"
"Census Tract 6.02"," Sarasota County"," Florida",586,"96"
"Census Tract 5.01"," Sarasota County"," Florida",237,"15"
"Census Tract 16.02"," Sarasota County"," Florida",454,"49"
"Census Tract 15.03"," Sarasota County"," Florida",556,"76"
"Census Tract 6.01"," Sarasota County"," Florida",357,"43"
"Census Tract 22.03"," Sarasota County"," Florida",493,"66"
"Census Tract 24.01"," Sarasota County"," Florida",238,"30"
"Census Tract 27.15"," Sarasota County"," Florida",230,"37"
"Census Tract 25.07"," Sarasota County"," Florida",804,"109"
"Census Tract 25.09"," Sarasota County"," Florida",649,"91"
"Census Tract 25.08"," Sarasota County"," Florida",443,"42"
"Census Tract 8.02"," Sarasota County"," Florida",36,"13"
"Census Tract 27.13"," Sarasota County"," Florida",1472,"166"
