"Census","County","State","TotalPop4_18yrs","TotalExempt4_18yrs"
"Census Tract 218.03"," Seminole County"," Florida",678,"63"
"Census Tract 219.01"," Seminole County"," Florida",591,"61"
"Census Tract 216.14"," Seminole County"," Florida",1004,"69"
"Census Tract 221.01"," Seminole County"," Florida",1255,"67"
"Census Tract 205"," Seminole County"," Florida",1093,"26"
"Census Tract 221.04"," Seminole County"," Florida",1309,"73"
"Census Tract 220.02"," Seminole County"," Florida",673,"46"
"Census Tract 222.06"," Seminole County"," Florida",891,"51"
"Census Tract 206"," Seminole County"," Florida",2528,"189"
"Census Tract 222.01"," Seminole County"," Florida",726,"59"
"Census Tract 216.08"," Seminole County"," Florida",916,"62"
"Census Tract 217.05"," Seminole County"," Florida",1164,"77"
"Census Tract 217.06"," Seminole County"," Florida",645,"57"
"Census Tract 220.04"," Seminole County"," Florida",331,"18"
"Census Tract 208.03"," Seminole County"," Florida",1358,"78"
"Census Tract 215.04"," Seminole County"," Florida",430,"33"
"Census Tract 214.01"," Seminole County"," Florida",1468,"89"
"Census Tract 220.05"," Seminole County"," Florida",1091,"87"
"Census Tract 213.06"," Seminole County"," Florida",1336,"80"
"Census Tract 222.07"," Seminole County"," Florida",930,"50"
"Census Tract 212.01"," Seminole County"," Florida",1216,"64"
"Census Tract 209.03"," Seminole County"," Florida",1752,"104"
"Census Tract 201.01"," Seminole County"," Florida",128,"<5"
"Census Tract 221.06"," Seminole County"," Florida",1478,"78"
"Census Tract 221.05"," Seminole County"," Florida",630,"30"
"Census Tract 215.03"," Seminole County"," Florida",271,"13"
"Census Tract 203.01"," Seminole County"," Florida",337,"28"
"Census Tract 214.04"," Seminole County"," Florida",1261,"104"
"Census Tract 202.02"," Seminole County"," Florida",1039,"52"
"Census Tract 210"," Seminole County"," Florida",963,"57"
"Census Tract 217.04"," Seminole County"," Florida",935,"39"
"Census Tract 216.06"," Seminole County"," Florida",1287,"85"
"Census Tract 216.09"," Seminole County"," Florida",838,"42"
"Census Tract 216.12"," Seminole County"," Florida",882,"51"
"Census Tract 209.02"," Seminole County"," Florida",535,"32"
"Census Tract 209.01"," Seminole County"," Florida",871,"50"
"Census Tract 202.01"," Seminole County"," Florida",437,"27"
"Census Tract 204.01"," Seminole County"," Florida",374,"16"
"Census Tract 208.06"," Seminole County"," Florida",1354,"86"
"Census Tract 213.07"," Seminole County"," Florida",1611,"76"
"Census Tract 216.04"," Seminole County"," Florida",833,"63"
"Census Tract 207.03"," Seminole County"," Florida",1729,"79"
"Census Tract 222.05"," Seminole County"," Florida",559,"36"
"Census Tract 207.01"," Seminole County"," Florida",2875,"264"
"Census Tract 208.07"," Seminole County"," Florida",1315,"80"
"Census Tract 207.05"," Seminole County"," Florida",432,"40"
"Census Tract 208.10"," Seminole County"," Florida",867,"46"
"Census Tract 216.11"," Seminole County"," Florida",1130,"60"
"Census Tract 207.04"," Seminole County"," Florida",1212,"97"
"Census Tract 211"," Seminole County"," Florida",670,"31"
"Census Tract 201.02"," Seminole County"," Florida",191,"10"
"Census Tract 203.02"," Seminole County"," Florida",482,"35"
"Census Tract 215.02"," Seminole County"," Florida",934,"50"
"Census Tract 208.05"," Seminole County"," Florida",1283,"90"
"Census Tract 213.12"," Seminole County"," Florida",1072,"89"
"Census Tract 208.08"," Seminole County"," Florida",944,"48"
"Census Tract 213.13"," Seminole County"," Florida",1353,"88"
"Census Tract 213.18"," Seminole County"," Florida",1608,"95"
"Census Tract 218.05"," Seminole County"," Florida",269,"29"
"Census Tract 222.09"," Seminole County"," Florida",685,"40"
"Census Tract 217.08"," Seminole County"," Florida",1282,"44"
"Census Tract 213.20"," Seminole County"," Florida",1431,"97"
"Census Tract 208.11"," Seminole County"," Florida",1049,"84"
"Census Tract 212.03"," Seminole County"," Florida",1856,"80"
"Census Tract 217.07"," Seminole County"," Florida",1122,"53"
"Census Tract 218.06"," Seminole County"," Florida",480,"43"
"Census Tract 222.08"," Seminole County"," Florida",702,"36"
"Census Tract 208.12"," Seminole County"," Florida",955,"47"
"Census Tract 212.04"," Seminole County"," Florida",2604,"126"
"Census Tract 213.14"," Seminole County"," Florida",729,"59"
"Census Tract 213.15"," Seminole County"," Florida",1279,"52"
"Census Tract 213.16"," Seminole County"," Florida",854,"41"
"Census Tract 213.17"," Seminole County"," Florida",1825,"111"
"Census Tract 213.21"," Seminole County"," Florida",531,"50"
"Census Tract 213.19"," Seminole County"," Florida",356,"23"
"Census Tract 216.15"," Seminole County"," Florida",441,"45"
"Census Tract 216.16"," Seminole County"," Florida",593,"40"
"Census Tract 214.03"," Seminole County"," Florida",1903,"127"
"Census Tract 204.02"," Seminole County"," Florida",635,"28"
"Census Tract 219.02"," Seminole County"," Florida",758,"41"
"Census Tract 215.06"," Seminole County"," Florida",653,"48"
"Census Tract 213.11"," Seminole County"," Florida",1060,"65"
"Census Tract 215.05"," Seminole County"," Florida",909,"62"
"Census Tract 216.13"," Seminole County"," Florida",428,"36"
"Census Tract 218.02"," Seminole County"," Florida",757,"50"
"Census Tract 220.01"," Seminole County"," Florida",435,"28"
