"time","geography","geography_name","grade","N_dtap","N_polio","N_mmr","N_hep_b","N_varicella","N_personal_exempt","N_medical_exempt","N_full_exempt","pct_dtap","pct_polio","pct_mmr","pct_hep_b","pct_varicella","pct_personal_exempt","pct_medical_exempt","pct_full_exempt","total_pop_4_18"
"2024-09-01",12009,"Brevard County","Overall",NA,NA,NA,NA,NA,NA,NA,6255,NA,NA,NA,NA,NA,NA,NA,6.7,93347
"2024-09-01",12011,"Broward County","Overall",NA,NA,NA,NA,NA,NA,NA,19390,NA,NA,NA,NA,NA,NA,NA,5.85,331618
"2024-09-01",12013,"Calhoun County","Overall",NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,1.93,2588
"2024-09-01",12017,"Citrus County","Overall",NA,NA,NA,NA,NA,NA,NA,1166,NA,NA,NA,NA,NA,NA,NA,6.01,19410
"2024-09-01",12023,"Columbia County","Overall",NA,NA,NA,NA,NA,NA,NA,727,NA,NA,NA,NA,NA,NA,NA,5.73,12697
"2024-09-01",12029,"Dixie County","Overall",NA,NA,NA,NA,NA,NA,NA,79,NA,NA,NA,NA,NA,NA,NA,2.99,2640
"2024-09-01",12031,"Duval County","Overall",NA,NA,NA,NA,NA,NA,NA,8860,NA,NA,NA,NA,NA,NA,NA,5.29,167550
"2024-09-01",12033,"Escambia County","Overall",NA,NA,NA,NA,NA,NA,NA,2785,NA,NA,NA,NA,NA,NA,NA,5.11,54459
"2024-09-01",12037,"Franklin County","Overall",NA,NA,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,NA,NA,2.45,1595
"2024-09-01",12045,"Gulf County","Overall",NA,NA,NA,NA,NA,NA,NA,86,NA,NA,NA,NA,NA,NA,NA,3.91,2201
"2024-09-01",12047,"Hamilton County","Overall",NA,NA,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,1.92,2505
"2024-09-01",12057,"Hillsborough County","Overall",NA,NA,NA,NA,NA,NA,NA,9410,NA,NA,NA,NA,NA,NA,NA,4.32,218023
