time	geography	geography_name	grade	N_dtap	N_polio	N_mmr	N_hep_b	N_varicella	N_personal_exempt	N_medical_exempt	N_full_exempt	pct_dtap	pct_polio	pct_mmr	pct_hep_b	pct_varicella	pct_personal_exempt	pct_medical_exempt	pct_full_exempt
2020-09-01	17001	Adams	Overall	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2020-09-01	17003	Alexander	Overall	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2020-09-01	17007	Boone	Overall	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2020-09-01	17009	Brown	Overall	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2020-09-01	17011	Bureau	Overall	NA	NA	NA	NA	NA	21.00	NA	NA	NA	NA	NA	NA	NA	<0.01	NA	NA
2020-09-01	17013	Calhoun	Overall	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2020-09-01	17017	Cass	Overall	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2020-09-01	17019	Champaign	Overall	NA	NA	NA	NA	NA	24.00	NA	NA	NA	NA	NA	NA	NA	<0.01	NA	NA
2020-09-01	17021	Christian	Overall	NA	NA	NA	NA	NA	111.00	NA	NA	NA	NA	NA	NA	NA	0.01	NA	NA
2020-09-01	17023	Clark	Overall	NA	NA	NA	NA	NA	82.00	NA	NA	NA	NA	NA	NA	NA	<0.01	NA	NA
2020-09-01	17025	Clay	Overall	NA	NA	NA	NA	NA	23.00	NA	NA	NA	NA	NA	NA	NA	<0.01	NA	NA
2020-09-01	17027	Clinton	Overall	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2020-09-01	17029	Coles	Overall	NA	NA	NA	NA	NA	36.00	NA	NA	NA	NA	NA	NA	NA	0.01	NA	NA
2020-09-01	17031	Cook	Overall	NA	NA	NA	NA	NA	664.00	24.00	NA	NA	NA	NA	NA	NA	0.01	<0.01	NA
2020-09-01	17033	Crawford	Overall	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2020-09-01	17035	Cumberland	Overall	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2020-09-01	17037	DeKalb	Overall	NA	NA	NA	NA	NA	102.00	NA	NA	NA	NA	NA	NA	NA	0.01	NA	NA
2020-09-01	17	DeWitt	Overall	NA	NA	NA	NA	NA	13.00	NA	NA	NA	NA	NA	NA	NA	0.01	NA	NA
2020-09-01	17041	Douglas	Overall	NA	NA	NA	NA	NA	13.00	NA	NA	NA	NA	NA	NA	NA	<0.01	NA	NA
2020-09-01	17043	DuPage	Overall	NA	NA	NA	NA	NA	1582.00	15.00	NA	NA	NA	NA	NA	NA	0.01	<0.01	NA
2020-09-01	17045	Edgar	Overall	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2020-09-01	17047	Edwards	Overall	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2020-09-01	17049	Effingham	Overall	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2020-09-01	17051	Fayette	Overall	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2020-09-01	17055	Franklin	Overall	NA	NA	NA	NA	NA	22.00	NA	NA	NA	NA	NA	NA	NA	<0.01	NA	NA
2020-09-01	17057	Fulton	Overall	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2020-09-01	17059	Gallatin	Overall	NA	NA	NA	NA	NA	10.00	NA	NA	NA	NA	NA	NA	NA	<0.01	NA	NA
2020-09-01	17061	Greene	Overall	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2020-09-01	17063	Grundy	Overall	NA	NA	NA	NA	NA	132.00	NA	NA	NA	NA	NA	NA	NA	0.01	NA	NA
2020-09-01	17065	Hamilton	Overall	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2020-09-01	17067	Hancock	Overall	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2020-09-01	17069	Hardin	Overall	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2020-09-01	17071	Henderson	Overall	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2020-09-01	17073	Henry	Overall	NA	NA	NA	NA	NA	40.00	NA	NA	NA	NA	NA	NA	NA	<0.01	NA	NA
2020-09-01	17075	Iroquois	Overall	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2020-09-01	17077	Jackson	Overall	NA	NA	NA	NA	NA	18.00	NA	NA	NA	NA	NA	NA	NA	<0.01	NA	NA
2020-09-01	17079	Jasper	Overall	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2020-09-01	17081	Jefferson	Overall	NA	NA	NA	NA	NA	21.00	NA	NA	NA	NA	NA	NA	NA	<0.01	NA	NA
2020-09-01	17083	Jersey	Overall	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2020-09-01	17085	Jo Daviess	Overall	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2020-09-01	17087	Johnson	Overall	NA	NA	NA	NA	NA	12.00	NA	NA	NA	NA	NA	NA	NA	0.01	NA	NA
2020-09-01	17089	Kane	Overall	NA	NA	NA	NA	NA	995.00	NA	NA	NA	NA	NA	NA	NA	0.01	NA	NA
2020-09-01	17091	Kankakee	Overall	NA	NA	NA	NA	NA	81.00	14.00	NA	NA	NA	NA	NA	NA	<0.01	<0.01	NA
2020-09-01	17093	Kendall	Overall	NA	NA	NA	NA	NA	278.00	NA	NA	NA	NA	NA	NA	NA	0.01	NA	NA
