time	state	geography	geography_name	grade	N_dtap	N_polio	N_mmr	N_hep_b	N_varicella	N_personal_exempt	N_medical_exempt	N_full_exempt	pct_dtap	pct_polio	pct_mmr	pct_hep_b	pct_varicella	pct_personal_exempt	pct_medical_exempt	pct_full_exempt	pct_any_exempt
2021-09-01	Louisiana	22001	Acadia	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.7714	NA	NA	0.9844	NA	NA	NA	0.0144	0.0144
2021-09-01	Louisiana	22003	Allen	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.7437	NA	NA	0.9892	NA	NA	NA	0.0036	0.0036
2021-09-01	Louisiana	22005	Ascension	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.9451	NA	NA	0.9792	NA	NA	NA	0.0197	0.0197
2021-09-01	Louisiana	22007	Assumption	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.9812	NA	NA	0.9906	NA	NA	NA	0.0047	0.0047
2021-09-01	Louisiana	22009	Avoyelles	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.8674	NA	NA	0.991	NA	NA	NA	0.0067	0.0067
2021-09-01	Louisiana	22011	Beauregard	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.7248	NA	NA	0.9946	NA	NA	NA	0	0
2021-09-01	Louisiana	22013	Bienville	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.9831	NA	NA	1	NA	NA	NA	0	0
2021-09-01	Louisiana	22015	Bossier	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.8261	NA	NA	0.9957	NA	NA	NA	6e-4	6e-4
2021-09-01	Louisiana	22017	Caddo	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.7366	NA	NA	0.9883	NA	NA	NA	0.0026	0.0026
2021-09-01	Louisiana	22019	Calcasieu	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.8341	NA	NA	0.9819	NA	NA	NA	0.0122	0.0122
2021-09-01	Louisiana	22021	Caldwell	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.9483	NA	NA	0.9914	NA	NA	NA	0.0086	0.0086
2021-09-01	Louisiana	22023	Cameron	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.8065	NA	NA	1	NA	NA	NA	0	0
2021-09-01	Louisiana	22025	Catahoula	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.9375	NA	NA	1	NA	NA	NA	0	0
2021-09-01	Louisiana	22027	Claiborne	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.8702	NA	NA	1	NA	NA	NA	0	0
2021-09-01	Louisiana	22029	Concordia	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.6977	NA	NA	0.9419	NA	NA	NA	0	0
2021-09-01	Louisiana	22031	De Soto	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.7578	NA	NA	0.9627	NA	NA	NA	0.0311	0.0311
2021-09-01	Louisiana	22033	East Baton Rouge	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.7407	NA	NA	0.9686	NA	NA	NA	0.0046	0.0046
2021-09-01	Louisiana	22035	East Carroll	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.7069	NA	NA	1	NA	NA	NA	0	0
2021-09-01	Louisiana	22037	East Feliciana	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.8	NA	NA	0.9879	NA	NA	NA	0.0061	0.0061
2021-09-01	Louisiana	22039	Evangeline	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.8033	NA	NA	0.9938	NA	NA	NA	0.0062	0.0062
2021-09-01	Louisiana	22041	Franklin	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.5927	NA	NA	1	NA	NA	NA	0	0
2021-09-01	Louisiana	22043	Grant	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.6834	NA	NA	1	NA	NA	NA	0	0
2021-09-01	Louisiana	22045	Iberia	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.9224	NA	NA	0.991	NA	NA	NA	0.0067	0.0067
2021-09-01	Louisiana	22047	Iberville	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.9354	NA	NA	0.9898	NA	NA	NA	0.0102	0.0102
2021-09-01	Louisiana	22049	Jackson	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.5806	NA	NA	0.9935	NA	NA	NA	0	0
2021-09-01	Louisiana	22051	Jefferson	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.8131	NA	NA	0.9852	NA	NA	NA	0.0052	0.0052
2021-09-01	Louisiana	22053	Jefferson Davis	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.8284	NA	NA	0.9828	NA	NA	NA	0.0147	0.0147
2021-09-01	Louisiana	22059	La Salle	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.8239	NA	NA	0.9602	NA	NA	NA	0.0398	0.0398
2021-09-01	Louisiana	22055	Lafayette	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.7777	NA	NA	0.9854	NA	NA	NA	0.0078	0.0078
2021-09-01	Louisiana	22057	Lafourche	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.8266	NA	NA	0.983	NA	NA	NA	0.0113	0.0113
2021-09-01	Louisiana	22061	Lincoln	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.9511	NA	NA	0.9822	NA	NA	NA	0.0178	0.0178
2021-09-01	Louisiana	22063	Livingston	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.826	NA	NA	0.9793	NA	NA	NA	0.0133	0.0133
2021-09-01	Louisiana	22065	Madison	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.4632	NA	NA	0.9789	NA	NA	NA	0	0
2021-09-01	Louisiana	22067	Morehouse	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.6192	NA	NA	0.9964	NA	NA	NA	0	0
2021-09-01	Louisiana	22069	Natchitoches	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.7605	NA	NA	0.9977	NA	NA	NA	0.0023	0.0023
2021-09-01	Louisiana	22071	Orleans	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.7583	NA	NA	0.9868	NA	NA	NA	0.0071	0.0071
2021-09-01	Louisiana	22073	Ouachita	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.5514	NA	NA	0.9883	NA	NA	NA	0.0029	0.0029
2021-09-01	Louisiana	22075	Plaquemines	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.9402	NA	NA	0.9755	NA	NA	NA	0.0245	0.0245
2021-09-01	Louisiana	22077	Pointe Coupee	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.8368	NA	NA	0.9958	NA	NA	NA	0.0042	0.0042
2021-09-01	Louisiana	22079	Rapides	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.7712	NA	NA	0.9833	NA	NA	NA	0.0042	0.0042
2021-09-01	Louisiana	22081	Red River	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.9109	NA	NA	1	NA	NA	NA	0	0
2021-09-01	Louisiana	22083	Richland	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.5889	NA	NA	1	NA	NA	NA	0	0
2021-09-01	Louisiana	22085	Sabine	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.831	NA	NA	0.9906	NA	NA	NA	0.0094	0.0094
2021-09-01	Louisiana	22087	St. Bernard	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.872	NA	NA	0.9795	NA	NA	NA	0.0188	0.0188
2021-09-01	Louisiana	22089	St. Charles	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.8959	NA	NA	0.9959	NA	NA	NA	0.0041	0.0041
2021-09-01	Louisiana	22091	St. Helena	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.5147	NA	NA	1	NA	NA	NA	0	0
2021-09-01	Louisiana	22093	St. James	6th Grade	NA	NA	NA	NA	NA	NA	NA	NA	0.9785	NA	NA	0.9821	NA	NA	NA	0.0179	0.0179
