time	geography	geography_name	grade	N_dtap	N_polio	N_mmr	N_hep_b	N_varicella	N_personal_exempt	N_medical_exempt	N_full_exempt	pct_dtap	pct_polio	pct_mmr	pct_hep_b	pct_varicella	pct_personal_exempt	pct_medical_exempt	pct_full_exempt	N_enroll	N_surveyed
2016-09-01	NA	State of Maryland	Kindergarten	NA	NA	NA	NA	NA	NA	NA	NA	99.6	99.8	99.4	99.6	99.2	0.8	0.5	NA	68641	67903
2017-09-01	NA	State of Maryland	Kindergarten	NA	NA	NA	NA	NA	NA	NA	NA	99.6	99.7	99.3	99.5	99	0.9	0.5	NA	71243	70106
2018-09-01	NA	State of Maryland	Kindergarten	NA	NA	NA	NA	NA	NA	NA	NA	99.1	99.2	98.6	99	98.6	0.9	0.3	NA	68639	67856
2019-09-01	NA	State of Maryland	Kindergarten	NA	NA	NA	NA	NA	NA	NA	NA	99.18	99.32	98.73	99.17	98.43	1.13	0.37	NA	61118	59931
2020-09-01	NA	State of Maryland	Kindergarten	NA	NA	NA	NA	NA	NA	NA	NA	99.19	99.39	98.97	99.3	98.42	2.73	0.63	NA	61192	60138
2021-09-01	NA	State of Maryland	Kindergarten	NA	NA	NA	NA	NA	NA	NA	NA	90.33	90.74	88.2	90.14	87.78	0.77	0.44	NA	52657	52075
2022-09-01	NA	State of Maryland	Kindergarten	NA	NA	NA	NA	NA	NA	NA	NA	98.42	98.89	98.02	98.63	97.57	1.03	0.51	NA	53717	51019
2023-09-01	NA	State of Maryland	Kindergarten	NA	NA	NA	NA	NA	NA	NA	NA	99.17	99.42	98.95	99.29	98.67	1.43	0.52	NA	60483	59327
2024-09-01	NA	State of Maryland	Kindergarten	NA	NA	NA	NA	NA	NA	NA	NA	99.19	99.49	99.06	99.36	98.62	1.54	0.86	NA	63224	61926
2016-09-01	24001	Allegany	Kindergarten	NA	NA	NA	NA	NA	NA	NA	NA	99.9	99.7	99.3	99.6	99.3	0.9	0.4	NA	693	686
