time,geography,geography_name,school_name,grade,n_assessed,pct_exempt_total,pct_exempt_medical,pct_exempt_religious,pct_exempt_philosophical,pct_90_day,pct_missing,pct_dtap,pct_polio,pct_mmr,pct_varicella,pct_tdap,pct_menacwy
12-31-2019,23001,Androscoggin County,Acadia Academy,Kindergarten,32.00,9.38,0.00,3.12,6.25,NA,0.00,90.62,90.62,90.62,90.62,NA,NA
12-31-2019,23001,Androscoggin County,Auburn Middle School,Kindergarten,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12-31-2019,23001,Androscoggin County,Auburn School Department,Kindergarten,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12-31-2019,23001,Androscoggin County,Bruce M Whittier Middle School,Kindergarten,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12-31-2019,23001,Androscoggin County,Central Maine Christian Academy,Kindergarten,10.00,20.00,0.00,20.00,0.00,NA,0.00,80.00,80.00,80.00,80.00,NA,NA
12-31-2019,23001,Androscoggin County,Durham Community School,Kindergarten,50.00,4.00,2.00,0.00,2.00,NA,0.00,98.00,98.00,98.00,98.00,NA,NA
12-31-2019,23001,Androscoggin County,East Auburn Community School,Kindergarten,23.00,8.70,0.00,0.00,8.70,NA,0.00,91.30,91.30,91.30,91.30,NA,NA
12-31-2019,23001,Androscoggin County,Elm Street School,Kindergarten,31.00,9.68,0.00,0.00,9.68,NA,0.00,93.55,90.32,93.55,96.77,NA,NA
12-31-2019,23001,Androscoggin County,Fairview Elementary School,Kindergarten,57.00,3.51,0.00,0.00,3.51,NA,0.00,96.49,96.49,96.49,96.49,NA,NA
12-31-2019,23001,Androscoggin County,Farwell Elementary,Kindergarten,59.00,5.08,1.69,0.00,3.39,NA,0.00,96.61,96.61,98.31,98.31,NA,NA
12-31-2019,23001,Androscoggin County,Gov James B Longley Elementary,Kindergarten,58.00,6.90,0.00,0.00,6.90,NA,0.00,93.10,94.83,93.10,93.10,NA,NA
12-31-2019,23001,Androscoggin County,Greene Central School,Kindergarten,49.00,0.00,0.00,0.00,0.00,NA,0.00,100.00,100.00,100.00,100.00,NA,NA
12-31-2019,23001,Androscoggin County,Leeds Central School,Kindergarten,27.00,3.70,0.00,0.00,3.70,NA,0.00,100.00,100.00,96.30,100.00,NA,NA
12-31-2019,23001,Androscoggin County,Lewiston High School,Kindergarten,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12-31-2019,23001,Androscoggin County,Lewiston Middle School,Kindergarten,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12-31-2019,23001,Androscoggin County,Lisbon Community School,Kindergarten,92.00,3.26,0.00,0.00,3.26,NA,0.00,97.83,98.91,97.83,100.00,NA,NA
12-31-2019,23001,Androscoggin County,Lisbon High School,Kindergarten,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12-31-2019,23001,Androscoggin County,Margaret Murphy Center For Children- Auburn Ave.,Kindergarten,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12-31-2019,23001,Androscoggin County,Margaret Murphy Center for Children- Falcon Campus,Kindergarten,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12-31-2019,23001,Androscoggin County,Margaret Murphy Center for Children- Rodman Campus,Kindergarten,15.00,6.67,0.00,0.00,6.67,NA,0.00,93.33,93.33,93.33,93.33,NA,NA
12-31-2019,23001,Androscoggin County,Margaret Murphy Centers for Children - Main St.,Kindergarten,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12-31-2019,23001,Androscoggin County,Margaret Murphy Centers for Children- Charles St.,Kindergarten,1.00,0.00,0.00,0.00,0.00,NA,0.00,100.00,100.00,100.00,100.00,NA,NA
12-31-2019,23001,Androscoggin County,Martel Elementary School,Kindergarten,33.00,3.03,0.00,0.00,3.03,NA,0.00,96.97,96.97,96.97,96.97,NA,NA
12-31-2019,23001,Androscoggin County,McMahon Elementary,Kindergarten,82.00,8.54,0.00,1.22,7.32,NA,0.00,95.12,95.12,91.46,95.12,NA,NA
12-31-2019,23001,Androscoggin County,Minot Consolidated School,Kindergarten,34.00,14.71,0.00,2.94,11.76,NA,0.00,85.29,85.29,88.24,97.06,NA,NA
12-31-2019,23001,Androscoggin County,Montello Elementary,Kindergarten,98.00,6.12,2.04,0.00,4.08,NA,0.00,93.88,93.88,93.88,93.88,NA,NA
12-31-2019,23001,Androscoggin County,Oak Hill High School,Kindergarten,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12-31-2019,23001,Androscoggin County,Oak Hill Middle School,Kindergarten,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12-31-2019,23001,Androscoggin County,Park Avenue Elementary School,Kindergarten,45.00,2.22,0.00,0.00,2.22,NA,0.00,97.78,97.78,97.78,97.78,NA,NA
12-31-2019,23001,Androscoggin County,philip w sugg,Kindergarten,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12-31-2019,23001,Androscoggin County,Poland Community School,Kindergarten,68.00,13.24,0.00,1.47,11.76,NA,0.00,86.76,86.76,86.76,88.24,NA,NA
12-31-2019,23001,Androscoggin County,Poland Regional High School,Kindergarten,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12-31-2019,23001,Androscoggin County,Raymond Geiger Elementary School,Kindergarten,84.00,2.38,0.00,0.00,2.38,NA,0.00,97.62,97.62,97.62,97.62,NA,NA
12-31-2019,23001,Androscoggin County,Renaissance School,Kindergarten,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12-31-2019,23001,Androscoggin County,Sabattus Primary School,Kindergarten,71.00,4.23,0.00,0.00,4.23,NA,0.00,98.59,95.77,95.77,98.59,NA,NA
