time,county,geography_name,school_name,district,school_type,grade,n_students,n_complete,pct_complete,n_provisional,n_incomplete,n_waiver_total,pct_waiver_total,n_waiver_medical,pct_waiver_medical,n_waiver_religious,pct_waiver_religious,n_waiver_philosophical,pct_waiver_philosophical,geography,state
12-31-2023,Oakland,Oakland County,Morris Adler Elementary School,Southfield Public School District,Pub,Kindergarten,38.00,33.00,86.80,0.00,1.00,4.00,10.50,0.00,0.00,3.00,7.90,1.00,2.60,26125,MI
12-31-2023,Washtenaw,Washtenaw County,South Arbor Academy,South Arbor Charter Academy,Pub,Kindergarten,74.00,62.00,83.80,0.00,2.00,10.00,13.50,0.00,0.00,6.00,8.10,4.00,5.40,26161,MI
12-31-2023,Monroe,Monroe County,Meadow Montessori School,Ida Public School District,Priv,Kindergarten,11.00,7.00,63.60,0.00,0.00,4.00,36.40,0.00,0.00,0.00,0.00,4.00,36.40,26115,MI
12-31-2023,Monroe,Monroe County,Joseph C Sterling Elementary School,Airport Community School District,Pub,Kindergarten,65.00,57.00,87.70,1.00,2.00,5.00,7.70,0.00,0.00,2.00,3.10,3.00,4.60,26115,MI
12-31-2023,Monroe,Monroe County,Dundee Elementary School,Dundee Community Schools,Pub,Kindergarten,106.00,101.00,95.30,0.00,3.00,2.00,1.90,0.00,0.00,1.00,0.90,1.00,0.90,26115,MI
12-31-2023,Oakland,Oakland County,Walled Lake Elementary School,Walled Lake Consolidated Schools,Pub,Kindergarten,43.00,39.00,90.70,0.00,2.00,2.00,4.70,0.00,0.00,0.00,0.00,2.00,4.70,26125,MI
12-31-2023,Wayne,Wayne County,Wick Elementary School,Romulus Community Schools,Pub,Kindergarten,51.00,41.00,80.40,2.00,3.00,5.00,9.80,0.00,0.00,1.00,2.00,4.00,7.80,26163,MI
12-31-2023,Wayne,Wayne County,David Hicks School,Wayne-Westland Community School District,Pub,Kindergarten,64.00,58.00,90.60,1.00,1.00,4.00,6.30,0.00,0.00,1.00,1.60,3.00,4.70,26163,MI
12-31-2023,Monroe,Monroe County,Ida Elementary School,Ida Public School District,Pub,Kindergarten,114.00,110.00,96.50,0.00,2.00,2.00,1.80,0.00,0.00,1.00,0.90,1.00,0.90,26115,MI
12-31-2023,Wayne,Wayne County,Highview Elementary School,Crestwood School District,Pub,Kindergarten,64.00,59.00,92.20,3.00,1.00,1.00,1.60,0.00,0.00,0.00,0.00,1.00,1.60,26163,MI
12-31-2023,Wayne,Wayne County,Early Childhood Elementary,Hamtramck Public Schools,Pub,Kindergarten,61.00,57.00,93.40,1.00,0.00,3.00,4.90,1.00,1.60,2.00,3.30,0.00,0.00,26163,MI
12-31-2023,Wayne,Wayne County,Rogers Early Elementary School,Melvindale-North Allen Park Schools,Pub,Kindergarten,186.00,170.00,91.40,8.00,6.00,2.00,1.10,0.00,0.00,0.00,0.00,2.00,1.10,26163,MI
12-31-2023,Wayne,Wayne County,Edgemont Elementary School,Van Buren Public Schools,Pub,Kindergarten,61.00,51.00,83.60,0.00,5.00,5.00,8.20,0.00,0.00,4.00,6.60,1.00,1.60,26163,MI
12-31-2023,Wayne,Wayne County,Miller Elementary School,Plymouth Canton Schools,Pub,Kindergarten,63.00,58.00,92.10,1.00,0.00,4.00,6.30,0.00,0.00,3.00,4.80,1.00,1.60,26163,MI
12-31-2023,Wayne,Wayne County,Savage Road Elementary,Van Buren Public Schools,Pub,Kindergarten,71.00,64.00,90.10,0.00,4.00,3.00,4.20,0.00,0.00,1.00,1.40,2.00,2.80,26163,MI
12-31-2023,Wayne,Wayne County,Keystone Academy,Keystone Academy,Pub,Kindergarten,86.00,71.00,82.60,0.00,1.00,14.00,16.30,0.00,0.00,4.00,4.70,10.00,11.60,26163,MI
12-31-2023,Wayne,Wayne County,Rawsonville Elementary,Van Buren Public Schools,Pub,Kindergarten,82.00,74.00,90.20,1.00,3.00,4.00,4.90,0.00,0.00,3.00,3.70,1.00,1.20,26163,MI
12-31-2023,Wayne,Wayne County,Hamtramck Academy,Hamtramck Academy,Pub,Kindergarten,64.00,62.00,96.90,0.00,1.00,1.00,1.60,0.00,0.00,1.00,1.60,0.00,0.00,26163,MI
12-31-2023,Wayne,Wayne County,Bedford School,Dearborn Heights School District #7,Pub,Kindergarten,88.00,72.00,81.80,2.00,3.00,11.00,12.50,0.00,0.00,5.00,5.70,6.00,6.80,26163,MI
12-31-2023,Wayne,Wayne County,Romulus Elementary School,Romulus Community Schools,Pub,Kindergarten,50.00,44.00,88.00,0.00,1.00,5.00,10.00,0.00,0.00,1.00,2.00,4.00,8.00,26163,MI
12-31-2023,Wayne,Wayne County,Peace Lutheran School,Livonia Public Schools,Priv,Kindergarten,5.00,4.00,80.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26163,MI
