time	geography	geography_name	grade	N_dtap	N_polio	N_mmr	N_hep_b	N_varicella	N_personal_exempt	N_medical_exempt	N_full_exempt	pct_dtap	pct_polio	pct_mmr	pct_hep_b	pct_varicella	pct_personal_exempt	pct_medical_exempt	pct_full_exempt
2025-09-01	29001	Adair	Kindergarten	NA	NA	NA	NA	NA	NA	NA	NA	0.02	0.02	0.02	0.01	0.02	NA	NA	NA
2025-09-01	29003	Andrew	Kindergarten	NA	NA	NA	NA	NA	NA	NA	NA	0.02	0.02	0.03	0.02	0.03	NA	NA	NA
2025-09-01	29005	Atchison	Kindergarten	NA	NA	NA	NA	NA	NA	NA	NA	0.06	0.06	0.06	0.02	0.06	NA	NA	NA
2025-09-01	29007	Audrain	Kindergarten	NA	NA	NA	NA	NA	NA	NA	NA	0.03	0.03	0.03	0.03	0.03	NA	NA	NA
2025-09-01	29009	Barry	Kindergarten	NA	NA	NA	NA	NA	NA	NA	NA	0.06	0.06	0.06	0.06	0.06	NA	NA	NA
2025-09-01	29011	Barton	Kindergarten	NA	NA	NA	NA	NA	NA	NA	NA	0.06	0.06	0.06	0.06	0.06	NA	NA	NA
2025-09-01	29013	Bates	Kindergarten	NA	NA	NA	NA	NA	NA	NA	NA	0.11	0.12	0.12	0.10	0.12	NA	NA	NA
2025-09-01	29015	Benton	Kindergarten	NA	NA	NA	NA	NA	NA	NA	NA	0.08	0.09	0.09	0.08	0.09	NA	NA	NA
2025-09-01	29017	Bollinger	Kindergarten	NA	NA	NA	NA	NA	NA	NA	NA	0.04	0.04	0.06	0.04	0.06	NA	NA	NA
2025-09-01	29019	Boone	Kindergarten	NA	NA	NA	NA	NA	NA	NA	NA	0.02	0.02	0.03	0.02	0.03	NA	NA	NA
2025-09-01	29021	Buchanan	Kindergarten	NA	NA	NA	NA	NA	NA	NA	NA	0.02	0.02	0.02	0.02	0.03	NA	NA	NA
2025-09-01	29023	Butler	Kindergarten	NA	NA	NA	NA	NA	NA	NA	NA	0.06	0.06	0.06	0.05	0.06	NA	NA	NA
2025-09-01	29025	Caldwell	Kindergarten	NA	NA	NA	NA	NA	NA	NA	NA	0.05	0.05	0.05	0.05	0.05	NA	NA	NA
2025-09-01	29027	Callaway	Kindergarten	NA	NA	NA	NA	NA	NA	NA	NA	0.05	0.05	0.05	0.04	0.05	NA	NA	NA
2025-09-01	29029	Camden	Kindergarten	NA	NA	NA	NA	NA	NA	NA	NA	0.08	0.08	0.08	0.06	0.08	NA	NA	NA
