time	geography	geography_name	grade	N_dtap	N_polio	N_mmr	N_hep_b	N_varicella	N_personal_exempt	N_medical_exempt	N_full_exempt	pct_dtap	pct_polio	pct_mmr	pct_hep_b	pct_varicella	pct_personal_exempt	pct_medical_exempt	pct_full_exempt
2022-12-31	28033	DeSoto County	Overall	NA	NA	NA	NA	NA	NA	8	NA	NA	NA	NA	NA	NA	NA	NA	NA
2022-12-31	28035	Forrest County	Overall	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
2022-12-31	28045	Hancock County	Overall	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA
2022-12-31	28047	Harrison County	Overall	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA
2022-12-31	28059	Jackson County	Overall	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
2022-12-31	28067	Jones County	Overall	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
2022-12-31	28073	Lamar County	Overall	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
2022-12-31	28079	Leake County	Overall	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
2022-12-31	28087	Lowndes County	Overall	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
2022-12-31	28089	Madison County	Overall	NA	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA
2022-12-31	28095	Monroe County	Overall	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA
2022-12-31	28101	Newton County	Overall	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
2022-12-31	28113	Pike County	Overall	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
2022-12-31	28115	Pontotoc County	Overall	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
2022-12-31	28117	Prentiss County	Overall	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA
2022-12-31	28123	Scott County	Overall	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
2022-12-31	28131	Stone County	Overall	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
2022-12-31	28163	Yazoo County	Overall	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
2024-12-31	28001	Adams County	Overall	NA	NA	NA	NA	NA	194	8	NA	NA	NA	NA	NA	NA	NA	NA	NA
2024-12-31	28003	Alcorn County	Overall	NA	NA	NA	NA	NA	437	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
2024-12-31	28005	Amite County	Overall	NA	NA	NA	NA	NA	232	40	NA	NA	NA	NA	NA	NA	NA	NA	NA
2024-12-31	28025	Clay County	Overall	NA	NA	NA	NA	NA	225	8	NA	NA	NA	NA	NA	NA	NA	NA	NA
2024-12-31	28029	Copiah County	Overall	NA	NA	NA	NA	NA	361	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
2024-12-31	28033	DeSoto County	Overall	NA	NA	NA	NA	NA	2440	22	NA	NA	NA	NA	NA	NA	NA	NA	NA
2024-12-31	28035	Forrest County	Overall	NA	NA	NA	NA	NA	825	13	NA	NA	NA	NA	NA	NA	NA	NA	NA
2024-12-31	28043	Grenada County	Overall	NA	NA	NA	NA	NA	296	4	NA	NA	NA	NA	NA	NA	NA	NA	NA
2024-12-31	28045	Hancock County	Overall	NA	NA	NA	NA	NA	388	24	NA	NA	NA	NA	NA	NA	NA	NA	NA
2024-12-31	28047	Harrison County	Overall	NA	NA	NA	NA	NA	2646	72	NA	NA	NA	NA	NA	NA	NA	NA	NA
2024-12-31	28049	Hinds County	Overall	NA	NA	NA	NA	NA	1586	31	NA	NA	NA	NA	NA	NA	NA	NA	NA
2024-12-31	28059	Jackson County	Overall	NA	NA	NA	NA	NA	2485	115	NA	NA	NA	NA	NA	NA	NA	NA	NA
2024-12-31	28063	Jefferson County	Overall	NA	NA	NA	NA	NA	32	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
2024-12-31	28067	Jones County	Overall	NA	NA	NA	NA	NA	768	25	NA	NA	NA	NA	NA	NA	NA	NA	NA
2024-12-31	28069	Kemper County	Overall	NA	NA	NA	NA	NA	26	4	NA	NA	NA	NA	NA	NA	NA	NA	NA
2024-12-31	28071	Lafayette County	Overall	NA	NA	NA	NA	NA	640	27	NA	NA	NA	NA	NA	NA	NA	NA	NA
2024-12-31	28073	Lamar County	Overall	NA	NA	NA	NA	NA	1231	42	NA	NA	NA	NA	NA	NA	NA	NA	NA
2024-12-31	28075	Lauderdale County	Overall	NA	NA	NA	NA	NA	452	6	NA	NA	NA	NA	NA	NA	NA	NA	NA
2024-12-31	28077	Lawrence County	Overall	NA	NA	NA	NA	NA	263	7	NA	NA	NA	NA	NA	NA	NA	NA	NA
2024-12-31	28079	Leake County	Overall	NA	NA	NA	NA	NA	110	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
2024-12-31	28081	Lee County	Overall	NA	NA	NA	NA	NA	1570	8	NA	NA	NA	NA	NA	NA	NA	NA	NA
2024-12-31	28085	Lincoln County	Overall	NA	NA	NA	NA	NA	1205	11	NA	NA	NA	NA	NA	NA	NA	NA	NA
