"geography","geography_name","grade","n_enrolled","pct_no_record","pct_pbe","pct_me","pct_re","pct_utd_mmr","pct_utd_polio","pct_utd_dtap","pct_utd_hepb","pct_utd_chickenpox","pct_utd_tdap","pct_utd_mcv4"
38001,"Adams County","11",96,6.25041666666667,0,0,1.04104166666667,94.79125,94.79125,NA,94.79125,94.79125,94.79125,94.79125
38001,"Adams County","7",112,8.03446428571429,1.78553571428571,0.892857142857143,0.893571428571428,91.9646428571428,91.07,NA,92.8582142857143,91.9646428571428,90.1780357142857,90.1780357142857
38001,"Adams County","Kindergarten",119,0,0.838991596638656,0.841176470588235,0,94.9593277310924,94.1181512605042,94.1181512605042,94.9593277310924,94.1181512605042,NA,NA
38003,"Barnes County","11",701,0.427788873038516,2.00676176890157,0,0.428245363766048,97.1264336661911,97.2684593437946,NA,97.6969044222539,97.1254065620542,95.5351925820257,94.6670185449358
38003,"Barnes County","7",630,1.26750793650794,3.01728571428571,0.158571428571429,0.635380952380952,95.2382857142857,95.3988253968254,NA,95.8732380952381,95.7139841269841,93.9679047619047,93.4922857142857
38003,"Barnes County","Kindergarten",763,0.26259501965924,2.88492791612058,0.261480996068152,0.131638269986894,94.8883093053735,95.0199475753604,94.8888204456094,96.3294364351245,94.7575622542595,NA,NA
38005,"Benson County","11",535,0.373626168224299,1.70771962616822,0,0,98.2922803738318,98.1052710280374,NA,98.2922803738318,98.118261682243,97.7057943925234,87.426523364486
38005,"Benson County","7",774,0.388372093023256,0.780025839793282,0,0.130968992248062,98.5697932816537,98.7021705426357,NA,90.6909302325581,98.7021705426357,94.5584237726098,94.2994186046512
38005,"Benson County","Kindergarten",885,0.117898305084746,0.569898305084746,0,0,97.8346892655367,97.6070960451977,97.270802259887,98.5214237288136,97.832779661017,NA,NA
38007,"Billings County","7",22,0,13.6372727272727,0,0,86.3627272727273,86.3627272727273,NA,95.4536363636364,86.3627272727273,86.3627272727273,86.3627272727273
38007,"Billings County","Kindergarten",32,0,12.4996875,0,0,76.561875,73.436875,73.436875,76.561875,73.436875,NA,NA
38009,"Bottineau County","11",387,1.6037984496124,1.30865633074935,0.262945736434109,0,91.4028682170543,90.8860723514212,NA,91.1436434108527,90.8860723514212,90.6067958656331,79.9438759689922
38009,"Bottineau County","7",362,1.38453038674033,1.3832044198895,0.276519337016575,0.552265193370166,77.6225966850829,91.4102762430939,NA,78.1762430939227,93.0922375690608,90.3321270718232,90.6080386740332
38009,"Bottineau County","Kindergarten",473,0,5.10615221987315,0.422410147991543,2.34803382663848,88.3163847780127,88.9508245243129,88.3175687103594,90.4310359408034,87.4705285412262,NA,NA
