"Number and Percentage of Children with Medical Exemptions by Grade Type and County, New Jersey, 2013-2014",,,,,,,,,,,,,,,,,,
County,Pre-Kindergarten,,,Kindergarten,,,First Grade,,,Sixth Grade,,,Transfer,,,Total,,
,"Total Number
of Children
Reported",Number,Percent,"Total Number
of Children
Reported",Number,Percent,"Total Number
of Children
Reported",Number,Percent,"Total Number
of Children
Reported",Number,Percent,"Total Number
of Children
Reported",Number,Percent,"Total Number
of Children
Reported",Number,Percent
Atlantic,"5,516",18,0.30%,"3,624",7,0.20%,"1,868",3,0.20%,"3,608",5,0.10%,717,1,0.10%,"15,333",34,0.20%
Bergen,"23,783",113,0.50%,"11,669",37,0.30%,"3,680",8,0.20%,"11,735",14,0.10%,"5,176",3,0.10%,"56,043",175,0.30%
Burlington,"8,662",45,0.50%,"5,580",14,0.30%,"1,358",0,0.00%,"5,315",2,0.00%,"3,310",27,0.80%,"24,225",88,0.40%
Camden,"12,340",51,0.40%,"6,706",9,0.10%,"1,797",0,0.00%,"6,485",6,0.10%,"3,667",5,0.10%,"30,995",71,0.20%
Cape May,"1,531",9,0.60%,961,3,0.30%,556,0,0.00%,994,2,0.20%,362,0,0.00%,"4,404",14,0.30%
Cumberland,"4,589",12,0.30%,"2,393",1,0.00%,163,1,0.60%,"2,035",2,0.10%,516,0,0.00%,"9,696",16,0.20%
Essex,"22,875",84,0.40%,"11,647",13,0.10%,"3,169",3,0.10%,"10,743",9,0.10%,"3,705",1,0.00%,"52,139",110,0.20%
Gloucester,"6,522",25,0.40%,"3,755",6,0.20%,"1,319",1,0.10%,"3,647",4,0.10%,597,0,0.00%,"15,840",36,0.20%
Hudson,"18,614",81,0.40%,"8,001",6,0.10%,"3,587",4,0.10%,"6,224",7,0.10%,"6,813",0,0.00%,"43,239",98,0.20%
Hunterdon,"2,904",32,1.10%,"1,294",6,0.50%,513,1,0.20%,"1,706",3,0.20%,379,1,0.30%,"6,796",43,0.60%
Mercer,"10,004",36,0.40%,"5,364",11,0.20%,"1,771",1,0.10%,"5,450",7,0.10%,"4,085",3,0.10%,"26,674",58,0.20%
Middlesex,"18,263",135,0.70%,"11,023",36,0.30%,"3,088",1,0.00%,"11,017",11,0.10%,"3,890",3,0.10%,"47,281",186,0.40%
Monmouth,"15,959",120,0.80%,"7,881",25,0.30%,"2,646",6,0.20%,"8,474",19,0.20%,"1,314",4,0.30%,"36,274",174,0.50%
Morris,"14,233",58,0.40%,"6,179",24,0.40%,"2,085",3,0.10%,"7,182",5,0.10%,"1,212",5,0.40%,"30,891",95,0.30%
Ocean,"10,016",66,0.70%,"8,037",22,0.30%,"2,316",10,0.40%,"7,314",9,0.10%,967,5,0.50%,"28,650",112,0.40%
Passaic,"13,598",65,0.50%,"7,475",8,0.10%,"2,134",1,0.00%,"6,950",3,0.00%,"3,811",1,0.00%,"33,968",78,0.20%
Salem,"1,167",6,0.50%,881,0,0.00%,60,0,0.00%,880,1,0.10%,178,0,0.00%,"3,166",7,0.20%
Somerset,"9,250",60,0.60%,"4,577",3,0.10%,"1,167",3,0.30%,"4,916",8,0.20%,"1,068",6,0.60%,"20,978",80,0.40%
Sussex,"2,888",12,0.40%,"1,590",1,0.10%,479,0,0.00%,"1,918",7,0.40%,260,0,0.00%,"7,135",20,0.30%
Union,"15,185",59,0.40%,"7,752",9,0.10%,"3,028",2,0.10%,"7,429",9,0.10%,"2,140",1,0.00%,"35,534",80,0.20%
Warren,"1,943",9,0.50%,"1,276",4,0.30%,415,0,0.00%,"1,354",3,0.20%,441,1,0.20%,"5,429",17,0.30%
Total,"219,842","1,096",0.50%,"117,665",245,0.20%,"37,199",48,0.10%,"115,376",136,0.10%,"44,608",67,0.20%,"534,690","1,592",0.30%
Source:,"New Jersey Annual Immunization Status Reports, 2013-2014 ** Updated as of 10/15/2014",,,,,,,,,,,,,,,,,
