"Number and Percentage of Children with Medical Exemptions by Grade Type and County, New Jersey, 2016-2017",,,,,,,,,,,,,,,,,,
County,Pre-Kindergarten,,,Kindergarten,,,First Grade,,,Sixth Grade,,,Transfer,,,Total,,
,"Total Number
of Children
Reported",Number,Percent,"Total Number
of Children
Reported",Number,Percent,"Total Number
of Children
Reported",Number,Percent,"Total Number
of Children
Reported",Number,Percent,"Total Number
of Children
Reported",Number,Percent,"Total Number
of Children
Reported",Number,Percent
Atlantic,"5,894",14,0.20%,"3,367",5,0.10%,208,0,0.00%,"3,455",3,0.10%,2404,3,0.10%,"15,328",25,0.20%
Bergen,"25,021",78,0.30%,"11,011",22,0.20%,"1,151",0,0.00%,"11,719",14,0.10%,"6,587",7,0.10%,"55,489",121,0.20%
Burlington,"10,061",37,0.40%,"5,125",6,0.10%,591,0,0.00%,"5,722",14,0.20%,"4,902",4,0.10%,"26,401",61,0.20%
Camden,"13,259",44,0.30%,"6,410",13,0.20%,851,2,0.20%,"6,582",10,0.20%,"4,205",2,0.00%,"31,307",71,0.20%
Cape May,"1,800",8,0.40%,907,3,0.30%,64,0,0.00%,906,1,0.10%,605,0,0.00%,"4,282",12,0.30%
Cumberland,"4,625",13,0.30%,"2,106",1,0.00%,141,0,0.00%,"2,107",2,0.10%,"1,210",0,0.00%,"10,189",16,0.20%
Essex,"22,727",129,0.60%,"11,063",15,0.10%,"1,442",0,0.00%,"10,398",7,0.10%,"6,591",2,0.00%,"52,221",153,0.30%
Gloucester,"6,655",17,0.30%,"3,524",6,0.20%,154,1,0.60%,"3,837",5,0.10%,"1,835",2,0.10%,"16,005",31,0.20%
Hudson,"19,024",84,0.40%,"7,663",7,0.10%,"1,717",2,0.10%,"6,696",3,0.00%,"4,475",2,0.00%,"39,575",98,0.20%
Hunterdon,"2,234",4,0.20%,"1,212",1,0.10%,171,1,0.60%,"1,562",5,0.30%,"1,555",5,0.30%,"6,734",16,0.20%
Mercer,"9,981",31,0.30%,"4,508",9,0.20%,312,0,0.00%,"4,593",8,0.20%,"2,834",3,0.10%,"22,228",51,0.20%
Middlesex,"18,109",65,0.40%,"10,209",12,0.10%,"1,450",4,0.30%,"11,122",21,0.20%,"6,425",0,0.00%,"47,315",102,0.20%
Monmouth,"15,871",96,0.60%,"7,146",27,0.40%,566,1,0.20%,"8,272",19,0.20%,"3,428",7,0.20%,"35,283",150,0.40%
Morris,"13,730",43,0.30%,"5,541",10,0.20%,791,1,0.10%,"6,399",16,0.30%,"3,084",1,0.00%,"29,545",71,0.20%
Ocean,"9,691",43,0.40%,"8,359",25,0.30%,874,3,0.30%,"7,791",12,0.20%,"2,418",6,0.20%,"29,133",89,0.30%
Passaic,"13,961",48,0.30%,"6,916",13,0.20%,771,0,0.00%,"6,681",8,0.10%,"3,530",2,0.10%,"31,859",71,0.20%
Salem,"1,310",3,0.20%,765,1,0.10%,167,0,0.00%,775,0,0.00%,540,0,0.00%,"3,557",4,0.10%
Somerset,"9,250",29,0.30%,"3,960",5,0.10%,519,0,0.00%,"4,544",10,0.20%,"2,024",9,0.40%,"20,297",53,0.30%
Sussex,"2,785",8,0.30%,"1,457",4,0.30%,59,0,0.00%,"1,673",3,0.20%,716,0,0.00%,"6,690",15,0.20%
Union,"15,834",46,0.30%,"7,225",7,0.10%,"1,577",1,0.10%,"7,440",10,0.10%,"4,844",9,0.20%,"36,920",73,0.20%
Warren,"1,873",9,0.50%,"1,103",4,0.40%,87,0,0.00%,"1,249",1,0.10%,847,0,0.00%,"5,159",14,0.30%
Total,"223,695",849,0.40%,"109,577",196,0.20%,"13,663",16,0.10%,"113,523",172,0.20%,"65,059",64,0.10%,"525,517","1,297",0.20%
Note:,"Percentages of children meeting all immunization requirements, with provisional admittance, with medical exemptions, and with religious exemptions in the reports do not sum to 100% due to a number of
children reported in enrollment with unknown status. See Methodology section for more information.",,,,,,,,,,,,,,,,,
Source:,"New Jersey Annual Immunization Status Reports, 2016-2017",,,,,,,,,,,,,,,,,
