"NM Student Vaccine Exemptions by County, Age ≤18 , Calendar Year 2017",,,,
County,"Number of
exemptions,
by county,
age ≤18","Population,
by county,
age ≤18","Number of exemptions
per 1,000 children,
by county,
age ≤18","Percent of students with
vaccine exemptions,
by county,
age ≤18"
Bernalillo,1683,"158,878",10.6,1.10%
Catron*,4,474,8.4,0.80%
Chaves,103,"18,469",5.6,0.60%
Cibola,18,"6,872",2.6,0.30%
Colfax,32,"2,428",13.2,1.30%
Curry,134,"14,016",9.6,1.00%
De Baca*,10,434,23,2.30%
Dona Ana,189,"57,514",3.3,0.30%
Eddy,143,"16,070",8.9,0.90%
Grant,54,"6,112",8.8,0.90%
Guadalupe*,7,989,7.1,0.70%
Harding*,2,104,19.2,1.90%
Hidalgo*,37,1066,34.7,3.50%
Lea,117,"22,219",5.3,0.50%
Lincoln,51,"3,818",13.4,1.30%
Los Alamos,117,"4,493",26,2.60%
Luna,13,"6,769",1.9,0.20%
McKinley,41,"22,283",1.8,0.20%
Mora*,8,889,9,0.90%
Otero,171,"16,206",10.6,1.10%
Quay*,13,"1,917",6.8,0.70%
Rio Arriba,52,"9,819",5.3,0.50%
Roosevelt,69,"5,084",13.6,1.40%
Sandoval,367,"35,434",10.4,1.00%
San Juan,181,"36,397",5,0.50%
San Miguel,36,"5,745",6.3,0.60%
Santa Fe,812,"29,227",27.8,2.80%
Sierra*,22,"1,870",11.8,1.20%
Socorro,17,"4,234",4,0.40%
Taos,198,"6,305",31.4,3.10%
Torrance,17,"3,571",4.8,0.50%
Union*,9,832,10.8,1.10%
Valencia,173,"18,942",9.1,0.90%
Total,4900,"519,480",9.4,0.90%
* Small numbers may result in unstable rates,,,,
