School ID,District Name,Report Period,Type,School Name,Percent Medical Exemptions,Percent Religious Exemptions,Percent Immunized Polio,Percent Immunized Measles,Percent Immunized Mumps,Percent Immunized Rubella,Percent Immunized Diphtheria,Percent Immunized HepatitisB,Percent Immunized Varicella,Percent Completely Immunized,Street,City,County,State,Zip Code,Immunization group,Coordinates
020801659057,,2012-2013,Private School,PLEASANT VIEW SCHOOL,0,1,0,0,0,0,0,0,0,0,7 COURT ST,BELMONT,ALLEGANY,NY,14813,0% Completely Immunized,POINT (-78.03349 42.22465)
590501227505,,2012-2013,Private School,ZICHRON MOSHE H S,0,0.0036,99.3,98.9,98.9,98.9,99.6,99.3,99.6,98.5,LAUREL PARK RD,SO FALLSBURG,SULLIVAN,NY,12779,Greater than 95% Completely Immunized,
101601998246,,2015-2016,Private School,MOUNTAIN ROAD SCHOOL,0.0294,0.2059,67.6,64.7,64.7,64.7,58.8,67.6,64.7,47.1,5 ABODE RD,NEW LEBANON,COLUMBIA,NY,12125,Less than 80% Completely Immunized,POINT (-73.37904 42.44317)
469000000000,,2012-2013,BOCES School,OSWEGO BOCES,0,0,100,100,100,100,100,100,100,100,179 CO RT 64,MEXICO,OSWEGO,NY,13114,Greater than 95% Completely Immunized,POINT (-76.26008 43.46016)
050100010009,AUBURN CITY SCHOOLS,2012-2013,Public School,EAST MS,0,0,100,100,100,100,100,100,100,100,FRANKLIN ST,AUBURN,CAYUGA,NY,13021,Greater than 95% Completely Immunized,
141601060001,HAMBURG CENTRAL SCHOOL,2012-2013,Public School,ARMOR ES,0,0.0025,99,99,99,99,99,99,99,99,ABBOTT RD,HAMBURG,ERIE,NY,14075,Greater than 95% Completely Immunized,
580903020000,QUOGUE UNION FREE SCHOOL,2012-2013,School District,QUOGUE UNION FREE SCHOOL,0,0.0096,99,99,99,99,99,99,99,99,EDGEWOOD RD,QUOGUE,SUFFOLK,NY,11959,Greater than 95% Completely Immunized,
190301040001,CAIRO-DURHAM CENTRAL SCHOOL,2013-2014,Public School,CAIRO-DURHAM INTERMEDIATE SCHOOL,0,0.0038,99.6,99.2,99.6,99.6,99.6,99.6,99.6,98.9,MAIN ST,CAIRO,GREENE,NY,12413,Greater than 95% Completely Immunized,
511901040004,MADRID WADDINGTON CENTRAL SCHOOL,2014-2015,Public School,MADRID WADDINGTON ES,0,0,100,100,100,100,99.7,100,100,99.7,RT 345,MADRID,ST. LAWRENCE,NY,13660,Greater than 95% Completely Immunized,
280208998980,,2015-2016,Private School,MISS SHELLEYS UPWARD PREP SCHOOL,0,0,100,100,100,100,100,100,100,100,66 NASSAU RD,ROOSEVELT,NASSAU,NY,11575,Greater than 95% Completely Immunized,POINT (-73.58836 40.67393)
412901040003,ORISKANY CENTRAL SCHOOL,2014-2015,Public School,ORISKANY J S H S,0.0034,0.0034,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,UTICA ST,ORISKANY,ONEIDA,NY,13424,Greater than 95% Completely Immunized,
270701659072,,2014-2015,Private School,MILLCREEK SCHOOL,0,1,0,0,0,0,0,0,0,0,20 PARK ST.,FONDA,MONTGOMERY,NY,12068,0% Completely Immunized,POINT (-74.37311 42.9531)
280215030004,LAWRENCE UNION FREE SCHOOL,2013-2014,Public School,4 SCHOOL,0,0.0049,99.5,98,99.5,99.5,99.5,99.5,99.5,98,WANSER AVE,INWOOD,NASSAU,NY,11696,Greater than 95% Completely Immunized,
280517030010,HICKSVILLE UNION FREE SCHOOL,2012-2013,Public School,HICKSVILLE H S,0,0.0034,99.6,99.7,99.7,99.7,99.5,99.5,99.7,99.5,DIVISION AVE,HICKSVILLE,NASSAU,NY,11801,Greater than 95% Completely Immunized,
420401060009,EAST SYRACUSE-MINOA CENTRAL SCHOOL,2015-2016,Public School,MINOA ELEM SCHOOL,0,0,100,100,100,100,100,100,100,100,MAIN ST,MINOA,ONONDAGA,NY,13116,Greater than 95% Completely Immunized,
412201061116,,2015-2016,Private School,ANDERSON ROAD SCHOOL,0,1,0,0,0,0,0,0,0,0,ANDERSON ROAD,ORISKANY FALLS,ONEIDA,NY,13425,0% Completely Immunized,
480101998682,,2013-2014,Private School,HOLY COMMUNION PARISH DAY SCHOOL,0,0,100,100,100,100,100,100,100,100,1055 RT 6,MAHOPAC,PUTNAM,NY,,Greater than 95% Completely Immunized,POINT (-73.71905 41.39592)
500402229528,,2014-2015,Private School,YESHIVA SHAAR EPHRAIM,0,0.0173,97,97,97,97,97,97,97,97,,MONSEY,ROCKLAND,NY,10952,Greater than 95% Completely Immunized,POINT (-74.06911 41.10993)
500402229299,,2014-2015,Private School,BAIS SHIFRA MIRIAM,0.0036,0.0109,97.1,98.6,98.6,98.6,97.1,96.4,97.5,94.9,,MONSEY,ROCKLAND,NY,10952,Between 80 & 94.9% Completely Immunized,POINT (-74.06911 41.10993)
320800145225,,2012-2013,Private School,ST ATHANASIUS SCHOOL,0,0,99.1,99.1,99.5,99.5,99.1,99.1,99.1,95.5,830 SOUTHERN BLVD,BRONX,BRONX,NY,10459,Greater than 95% Completely Immunized,POINT (-73.89511 40.81739)
661500010009,PEEKSKILL CITY SCHOOLS,2014-2015,Public School,PEEKSKILL H S,0,0.0029,97.3,98.6,98.6,98.6,96.4,95.7,97.8,94.7,ELM ST,PEEKSKILL,WESTCHESTER,NY,10566,Between 80 & 94.9% Completely Immunized,
661100145129,,2014-2015,Private School,IONA PREP SCHOOL,0.0013,0,99.9,99.9,99.9,99.9,99.9,99.7,99.9,99.7,WILMONT RD,NEW ROCHELLE,WESTCHESTER,NY,10804,Greater than 95% Completely Immunized,
662101997144,,2013-2014,Private School,LINCOLN HALL,0,0,100,100,100,100,100,100,100,100,ROUTE 202,LINCOLNDALE,WESTCHESTER,NY,10540,Greater than 95% Completely Immunized,
651201060000,SODUS CENTRAL SCHOOL,2012-2013,School District,SODUS CENTRAL SCHOOL,0.0009,0,99.5,99.5,99.5,99.5,99.5,99.9,99,99,MILL ST EXT,SODUS,WAYNE,NY,14551,Greater than 95% Completely Immunized,
431701060004,VICTOR CENTRAL SCHOOL,2014-2015,Public School,VICTOR S H S,0.0007,0.0037,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,,VICTOR,ONTARIO,NY,14564,Greater than 95% Completely Immunized,POINT (-77.40919 42.98244)
190901040003,HUNTER TANNERSVL CENT SCH,2015-2016,Public School,HUNTER ELEM SCHOOL,0,0.0169,97.2,96.6,96.6,98.3,96.6,98.3,97.2,95.5,7794 MAIN ST,HUNTER,GREENE,NY,12442,Greater than 95% Completely Immunized,POINT (-74.21221 42.20947)
180701040001,BYRON BERGEN CENTRAL SCHOOL,2013-2014,Public School,BYRON BERGEN J S H S,0,0,100,100,100,100,100,100,100,100,TOWNLINE RD,BERGEN,GENESEE,NY,14416,Greater than 95% Completely Immunized,
660101996492,,2014-2015,Private School,HARVEY SCHOOL (THE),0,0.0142,98.3,98.6,98.6,98.6,98.3,98.6,98.6,98.3,JAY ST,KATONAH,WESTCHESTER,NY,10536,Greater than 95% Completely Immunized,
280215030002,LAWRENCE UNION FREE SCHOOL,2012-2013,Public School,2 SCHOOL,0.0026,0.0077,99,99,99,99,99,99,99,99,DONOHUE AVE,INWOOD,NASSAU,NY,11696,Greater than 95% Completely Immunized,
660801060006,MT PLEASANT CENTRAL SCHOOL,2012-2013,Public School,WESTLAKE H S,0.0035,0,99.3,99.5,99.5,99.5,99.3,99.1,99.3,99.1,WESTLAKE DR,THORNWOOD,WESTCHESTER,NY,10594,Greater than 95% Completely Immunized,
140207136239,,2012-2013,Private School,ST LEOS SCHOOL,0,0,100,100,100,100,100,100,100,100,903 SWEET HOME RD,AMHERST,ERIE,NY,14226,Greater than 95% Completely Immunized,POINT (-78.80686 42.9878)
170600010005,JOHNSTOWN CITY SCHOOLS,2014-2015,Public School,WARREN STREET SCHOOL,0,0,100,100,100,100,100,100,100,100,WARREN ST,JOHNSTOWN,FULTON,NY,12095,Greater than 95% Completely Immunized,
570101040002,ADDISON CENTRAL SCHOOL,2013-2014,Public School,ADDISON H S,0,0.0038,99.6,99.6,99.6,99.6,99.4,99.6,99.6,99.4,COLWELL ST,ADDISON,STEUBEN,NY,14801,Greater than 95% Completely Immunized,
270701659811,,2013-2014,Private School,DYGERT ROAD SCHOOL,0,0.9375,0,0,0,0,0,0,0,0,20 PARK ST.,FONDA,MONTGOMERY,NY,12068,0% Completely Immunized,POINT (-74.37311 42.9531)
270701659810,,2015-2016,Private School,GLEN MEADOWS,0,1,0,0,0,0,0,0,0,0,20 PARK ST.,FONDA,MONTGOMERY,NY,12068,0% Completely Immunized,POINT (-74.37311 42.9531)
280502060012,SYOSSET CENTRAL SCHOOL,2015-2016,Public School,SOUTH WOODS J H S,0.0055,0.0083,98.5,98.5,98.5,98.3,98.3,98.2,98.2,98.1,PELL LN,SYOSSET,NASSAU,NY,11791,Greater than 95% Completely Immunized,
020801659066,,2018-2019,Private School,VALLEY VIEW,0,1,0,0,0,0,0,0,0,0,COUNTY ROUTE 23,FILLMORE,ALLEGANY,NY,14835,0% Completely Immunized,
460901060001,MEXICO CENTRAL SCHOOL,2015-2016,Public School,MEXICO ELEM SCHOOL,0.0034,0,99.7,99.7,99.7,99.7,99.3,99.7,99.3,98.6,ACADEMY ST,MEXICO,OSWEGO,NY,13114,Greater than 95% Completely Immunized,
670201060001,ATTICA CENTRAL SCHOOL,2013-2014,Public School,ATTICA S H S,0.002,0.0081,99,99,99,99,99,99,99,99,E MAIN ST,ATTICA,WYOMING,NY,14011,Greater than 95% Completely Immunized,
280504060015,PLAINVIEW-OLD BETHPAGE CENT-SCH,2013-2014,Public School,STRAFORD RD SCHOOL,0,0.0103,99,99,99,99,99,99,99,99,STRATFORD RD,PLAINVIEW,NASSAU,NY,11803,Greater than 95% Completely Immunized,
500402229623,,2014-2015,Private School,CONG BAIS MALKA,0,0.0614,90.1,89.7,90.3,90.3,89.4,89.5,88.1,85.2,,MONSEY,ROCKLAND,NY,10952,Between 80 & 94.9% Completely Immunized,POINT (-74.06911 41.10993)
270701659811,,2016-2017,Private School,DYGERT ROAD SCHOOL,0,1,0,0,0,0,0,0,0,0,20 PARK ST.,FONDA,MONTGOMERY,NY,12068,0% Completely Immunized,POINT (-74.37311 42.9531)
499000000000,,2014-2015,BOCES School,RENSS-COLUMBIA-GREENE BOCES,0,0,100,100,100,100,100,100,100,100,COLLEEN RD,TROY,RENSSELAER,NY,12180,Greater than 95% Completely Immunized,
230901658822,,2015-2016,Private School,HOPE MENONITE SCHOOL,0,1,0,0,0,0,0,0,0,0,9924 EAST RD,LOWVILLE,LEWIS,NY,13367,0% Completely Immunized,POINT (-75.57026 43.91006)
512404040002,,2014-2015,Private School,ELM GROVE,0,1,0,0,0,0,0,0,0,0,87 WASHINGTON ST,HEUVELTON,ST. LAWRENCE,NY,13654,0% Completely Immunized,POINT (-75.40844 44.62154)
412201061115,,2014-2015,Private School,ROUND BARN ROAD SCHOOL,0,1,0,0,0,0,0,0,0,0,7364 FOX ROAD,HOLLAND PATENT,ONEIDA,NY,13354,0% Completely Immunized,POINT (-75.25766 43.21875)
043001659683,,2017-2018,Private School,DREDGE ROAD SCHOOL,0,1,0,0,0,0,0,0,0,0,DREDGE ROAD,SOUTH DAYTON,CATTARAUGUS,NY,14138,0% Completely Immunized,
020801659059,,2015-2016,Private School,RUSTIC HOLLOW,0,1,0,0,0,0,0,0,0,0,7 COURT ST.,BELMONT,ALLEGANY,NY,14813,0% Completely Immunized,POINT (-78.03349 42.22465)
