time	state	geography	geography_name	grade	N_dtap	N_polio	N_mmr	N_hep_b	N_varicella	N_personal_exempt	N_medical_exempt	N_full_exempt	pct_dtap	pct_polio	pct_mmr	pct_hep_b	pct_varicella	pct_personal_exempt	pct_medical_exempt	pct_full_exempt	total_enrolled
2020-09-01	Pennsylvania	42001	Adams	Kindergarten	892	889	888	894	888	21	3	24	97.2	96.8	96.7	97.39999999999999	96.7	2.3	0.3000000000000001	2.5999999999999996	918
2020-09-01	Pennsylvania	42001	Adams	7th Grade	1125	1128	1127	1126	1126	25	8	33	98.3	98.6	98.5	98.4	98.4	2.2	0.7000000000000002	2.9000000000000004	1144
2020-09-01	Pennsylvania	42001	Adams	12th Grade	1194	1199	1199	1192	1187	25	19	44	98.4	98.8	98.8	98.3	97.89999999999999	2.1000000000000005	1.6000000000000003	3.700000000000001	1213
2020-09-01	Pennsylvania	42001	Adams	Totals	3211	3216	3214	3212	3201	71	30	101	98	98.2	98.1	98.1	97.7	2.0999999999999996	0.9000000000000005	3.0000000000000004	3275
2020-09-01	Pennsylvania	42003	Allegheny	Kindergarten	10124	10064	10078	10209	10062	304	29	333	95.7	95.10000000000001	95.2	96.5	95.10000000000001	2.9000000000000004	0.3000000000000001	3.2	10583
2020-09-01	Pennsylvania	42003	Allegheny	7th Grade	11351	11331	11336	11351	11290	306	86	392	98	97.8	97.89999999999999	98	97.5	2.7	0.7000000000000002	3.4000000000000004	11580
2020-09-01	Pennsylvania	42003	Allegheny	12th Grade	10387	10369	10373	10414	10249	310	272	582	98.2	98	98	98.4	96.89999999999999	2.9000000000000004	2.6	5.500000000000001	10582
2020-09-01	Pennsylvania	42003	Allegheny	Totals	31862	31764	31787	31974	31601	920	387	1307	97.3	97	97.1	97.6	96.5	2.8	1.2000000000000002	4	32745
2020-09-01	Pennsylvania	42005	Armstrong	Kindergarten	493	491	491	496	491	28	0	28	95	94.6	94.6	95.60000000000001	2.3000000000000003	0.20000000000000004	3.1000000000000005	3.3000000000000007	519
2020-09-01	Pennsylvania	42005	Armstrong	7th Grade	706	704	706	707	705	40	2	42	96.2	95.9	96.2	96.3	93.70000000000002	5.800000000000001	3.1000000000000005	8.900000000000002	734
2020-09-01	Pennsylvania	42005	Armstrong	12th Grade	538	536	530	536	527	27	5	32	98.9	98.5	97.39999999999999	98.5	96.89999999999999	5.000000000000001	0.9000000000000005	5.900000000000001	544
2020-09-01	Pennsylvania	42005	Armstrong	Totals	1737	1731	1727	1739	1723	95	7	102	96.7	96.3	96.1	96.8	95.9	5.300000000000001	0.4000000000000001	5.7	1797
