,,"Percent of Students with Conscientious Exemptions Filed by County and School Year -- Texas Annual Report of Immunization Status, Kindergarten through 12th Grade
(Percent of Students with a Conscientious Exemption to at Least One Vaccine)",,,,,,,,,,,,,,,,,
State,County,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,,,,,,,
TX,Total,0.76%,0.79%,0.84%,0.97%,1.07%,1.20%,1.35%,1.74%,1.60%,1.88%,2.32%,1.68%,,,,,,
,Anderson,0.29%,0.29%,0.35%,0.50%,0.75%,0.94%,1.00%,1.11%,1.62%,1.64%,2.05%,,,,,,,
,Andrews,0.66%,0.82%,0.75%,0.90%,1.07%,1.50%,0.39%,1.36%,0.45%,1.57%,1.43%,,,,,,,
,Angelina,0.55%,0.49%,0.70%,0.63%,0.67%,0.82%,0.96%,0.86%,1.03%,1.53%,1.98%,,,,,,,
,Aransas,0.98%,1.20%,1.22%,1.39%,1.49%,1.71%,1.57%,1.51%,0.00%,1.91%,1.91%,,,,,,,
,Archer,0.33%,0.56%,0.61%,0.45%,0.81%,1.43%,1.29%,1.56%,1.68%,2.32%,2.80%,,,,,,,
,Armstrong,1.98%,2.06%,0.59%,1.90%,1.44%,2.35%,3.53%,3.53%,3.77%,4.46%,4.95%,,,,,,,
,Atascosa,0.26%,0.30%,0.16%,0.20%,0.24%,0.32%,0.36%,0.62%,0.47%,1.03%,0.81%,,,,,,,
,Austin,0.27%,0.53%,0.74%,0.85%,1.05%,1.32%,1.41%,1.80%,1.96%,2.86%,3.35%,,,,,,,
,Bailey,0.75%,0.68%,0.67%,0.74%,0.89%,0.98%,0.69%,0.63%,1.03%,1.11%,0.65%,,,,,,,
,Bandera,1.00%,1.03%,1.44%,2.24%,2.26%,1.71%,2.17%,2.59%,2.65%,2.68%,2.82%,,,,,,,
,Bastrop,0.96%,1.29%,1.08%,1.37%,1.39%,1.56%,1.71%,1.48%,1.64%,1.75%,1.89%,,,,,,,
,Baylor,1.52%,3.36%,1.23%,0.70%,0.36%,0.53%,NR**,1.03%,1.68%,0.62%,0.50%,,,,,,,
,Bee,0.46%,0.52%,0.24%,0.23%,0.26%,0.39%,0.45%,0.35%,0.87%,1.09%,1.06%,,,,,,,
,Bell,0.49%,0.58%,0.71%,0.79%,0.91%,1.25%,1.36%,1.32%,1.64%,1.74%,18.82%,,,,,,,
,Bexar,0.45%,0.52%,0.67%,0.69%,0.80%,0.88%,1.02%,1.04%,1.09%,1.34%,1.69%,,,,,,,
,Blanco,3.61%,4.57%,3.06%,3.46%,3.52%,3.17%,4.04%,4.47%,4.94%,5.39%,7.02%,,,,,,,
,Borden,1.17%,1.63%,2.04%,3.15%,4.24%,5.12%,3.86%,8.66%,5.69%,7.62%,8.33%,,,,,,,
,Bosque,0.49%,0.58%,0.68%,0.93%,0.78%,1.48%,1.62%,1.42%,1.89%,2.49%,3.34%,,,,,,,
,Bowie,1.12%,1.17%,1.17%,1.30%,1.28%,1.39%,1.34%,1.47%,2.06%,2.24%,2.68%,,,,,,,
,Brazoria,0.60%,0.70%,0.80%,0.79%,0.93%,0.97%,1.11%,1.12%,1.51%,1.72%,1.83%,,,,,,,
,Brazos,0.49%,0.63%,0.76%,0.76%,0.76%,0.89%,0.98%,0.80%,1.02%,0.96%,1.57%,,,,,,,
,Brewster,1.46%,0.54%,1.36%,1.56%,1.72%,1.34%,2.09%,1.74%,2.24%,4.26%,4.86%,,,,,,,
,Briscoe,2.86%,2.16%,3.55%,3.26%,2.02%,1.68%,3.30%,3.87%,4.52%,6.93%,8.53%,,,,,,,
,Brooks,0.00%,0.00%,0.00%,0.06%,0.19%,0.33%,0.07%,0.33%,0.24%,0.46%,0.31%,,,,,,,
,Brown,0.60%,0.70%,0.62%,0.99%,1.15%,1.59%,1.52%,1.44%,1.89%,2.30%,3.03%,,,,,,,
,Burleson,0.11%,0.19%,0.19%,0.19%,0.40%,0.76%,0.55%,0.60%,1.03%,0.84%,0.90%,,,,,,,
,Burnet,1.75%,2.37%,2.21%,2.44%,2.64%,3.28%,3.42%,3.26%,4.00%,5.42%,6.03%,,,,,,,
,Caldwell,0.66%,0.76%,1.07%,1.26%,1.35%,1.19%,1.46%,0.36%,1.50%,1.74%,1.88%,,,,,,,
,Calhoun,0.51%,0.47%,0.39%,0.47%,0.59%,0.63%,0.63%,0.39%,0.03%,0.72%,0.72%,,,,,,,
,Callahan,1.12%,1.75%,1.39%,1.81%,1.46%,1.19%,2.02%,1.77%,2.27%,3.51%,3.96%,,,,,,,
,Cameron,0.54%,0.10%,0.12%,0.13%,0.13%,0.21%,0.21%,0.27%,0.29%,0.35%,0.43%,,,,,,,
,Camp,0.08%,0.04%,0.00%,0.04%,0.04%,0.00%,0.26%,0.44%,0.70%,0.58%,0.96%,,,,,,,
,Carson,0.95%,1.20%,1.26%,1.44%,1.94%,2.11%,2.38%,2.80%,3.92%,3.45%,4.13%,,,,,,,
,Cass,0.32%,0.23%,0.57%,0.56%,0.74%,0.65%,1.62%,23.19%,2.14%,2.41%,2.78%,,,,,,,
,Castro,0.22%,0.07%,0.00%,0.38%,0.44%,0.64%,0.63%,0.72%,1.06%,0.68%,1.02%,,,,,,,
,Chambers,0.44%,0.57%,0.80%,1.07%,1.16%,1.45%,1.79%,1.95%,2.09%,2.56%,2.98%,,,,,,,
,Cherokee,0.24%,0.30%,0.36%,0.39%,0.49%,0.52%,0.48%,0.42%,0.60%,0.86%,1.10%,,,,,,,
,Childress,0.00%,0.09%,0.09%,0.18%,0.19%,0.48%,0.76%,0.63%,0.59%,0.10%,0.31%,,,,,,,
,Clay,0.37%,0.42%,0.52%,0.33%,0.73%,0.83%,0.82%,1.01%,1.93%,2.09%,2.55%,,,,,,,
,Cochran,0.38%,0.39%,0.29%,0.29%,0.30%,0.31%,1.74%,2.46%,2.34%,3.05%,3.24%,,,,,,,
,Coke,1.24%,1.37%,0.79%,1.93%,2.72%,2.96%,2.80%,2.14%,1.91%,4.07%,3.51%,,,,,,,
,Coleman,0.00%,0.16%,0.28%,1.16%,0.66%,0.75%,0.87%,0.76%,1.06%,2.33%,3.13%,,,,,,,
