,,"Percent of Students with Conscientious Exemptions Filed by County and School Year -- Texas Annual Report of Immunization Status, Kindergarten
(Percent of Students with a Conscientious Exemption to at Least One Vaccine)",,,,,,,,,,,,,,,,,
State,County,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,,,,,,,
TX,Total,1.35%,1.29%,1.35%,1.55%,1.80%,2.17%,2.24%,2.14%,2.64%,3.24%,3.63%,,,,,,,
,Anderson,0.80%,0.58%,0.65%,1.55%,1.37%,2.15%,1.54%,2.47%,3.24%,3.23%,4.31%,,,,,,,
,Andrews,0.35%,0.90%,1.35%,0.97%,1.22%,2.48%,0.95%,2.48%,0.00%,0.64%,1.99%,,,,,,,
,Angelina,1.11%,0.61%,1.66%,1.18%,1.51%,1.72%,1.82%,1.48%,2.35%,3.79%,5.13%,,,,,,,
,Aransas,2.23%,1.11%,1.43%,2.08%,1.19%,1.07%,2.55%,2.87%,0.00%,0.93%,2.33%,,,,,,,
,Archer,0.81%,2.22%,0.00%,0.00%,0.00%,1.55%,1.41%,0.65%,2.53%,5.80%,5.38%,,,,,,,
,Armstrong,0.00%,3.70%,0.00%,4.17%,0.00%,3.23%,7.41%,10.00%,5.56%,0.00%,4.00%,,,,,,,
,Atascosa,0.31%,0.30%,0.47%,1.29%,0.94%,1.62%,0.34%,1.64%,0.49%,2.21%,0.99%,,,,,,,
,Austin,1.12%,1.12%,2.34%,2.10%,1.65%,3.39%,1.89%,2.08%,1.49%,4.70%,5.46%,,,,,,,
,Bailey,0.00%,0.00%,0.91%,1.77%,1.00%,1.10%,1.12%,0.00%,3.23%,2.75%,0.00%,,,,,,,
,Bandera,3.08%,4.22%,1.32%,5.39%,2.11%,1.07%,4.37%,3.33%,2.53%,6.28%,4.00%,,,,,,,
,Bastrop,1.97%,2.47%,1.69%,3.37%,1.89%,2.18%,2.73%,2.05%,3.41%,2.84%,3.27%,,,,,,,
,Baylor,0.00%,1.82%,0.00%,0.00%,2.13%,1.79%,0.00%,3.64%,4.00%,0.00%,1.92%,,,,,,,
,Bee,0.00%,0.25%,0.26%,0.00%,0.00%,0.52%,0.77%,0.85%,1.07%,2.88%,2.48%,,,,,,,
,Bell,0.83%,0.83%,1.48%,1.54%,1.62%,2.39%,2.48%,2.05%,2.53%,2.87%,3.72%,,,,,,,
,Bexar,0.79%,0.80%,0.92%,1.16%,1.32%,1.60%,1.78%,1.58%,1.75%,2.65%,2.81%,,,,,,,
,Blanco,5.31%,5.13%,1.96%,6.00%,3.49%,3.92%,7.37%,8.49%,11.11%,11.02%,13.79%,,,,,,,
,Borden,0.00%,0.00%,5.88%,0.00%,0.00%,12.50%,0.00%,15.38%,0.00%,0.00%,5.56%,,,,,,,
,Bosque,0.00%,0.00%,0.48%,2.16%,1.58%,3.33%,3.78%,2.73%,2.30%,7.22%,6.84%,,,,,,,
,Bowie,1.60%,1.90%,1.61%,1.89%,1.94%,2.40%,2.51%,2.42%,3.34%,4.77%,4.68%,,,,,,,
,Brazoria,1.06%,1.37%,1.12%,1.02%,1.70%,1.72%,1.86%,2.11%,2.69%,3.32%,3.23%,,,,,,,
,Brazos,0.67%,0.72%,0.87%,1.51%,1.21%,1.34%,1.69%,1.20%,1.93%,2.54%,2.81%,,,,,,,
,Brewster,2.53%,2.47%,0.92%,2.35%,3.00%,4.71%,18.48%,8.11%,1.39%,7.58%,2.63%,,,,,,,
,Briscoe,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,6.67%,14.29%,0.00%,20.00%,,,,,,,
,Brooks,0.00%,0.00%,0.00%,0.00%,0.68%,0.93%,0.00%,1.01%,0.00%,2.67%,1.09%,,,,,,,
,Brown,0.40%,1.02%,1.05%,0.65%,1.08%,3.39%,2.50%,3.04%,3.04%,3.67%,6.36%,,,,,,,
,Burleson,0.00%,0.00%,0.52%,0.00%,1.04%,0.45%,0.45%,0.90%,1.86%,0.88%,1.46%,,,,,,,
,Burnet,4.31%,3.51%,1.43%,1.96%,3.48%,3.34%,5.02%,3.98%,7.20%,7.41%,8.24%,,,,,,,
,Caldwell,2.42%,1.60%,1.72%,2.44%,1.44%,3.17%,2.21%,1.77%,2.01%,1.95%,3.10%,,,,,,,
,Calhoun,0.61%,0.67%,0.30%,0.66%,1.08%,0.70%,0.65%,0.36%,0.70%,2.46%,0.85%,,,,,,,
,Callahan,1.67%,3.23%,1.81%,2.26%,2.21%,2.94%,3.53%,1.92%,4.15%,7.07%,5.95%,,,,,,,
,Cameron,0.25%,0.11%,0.27%,0.28%,0.39%,0.78%,0.66%,0.60%,0.71%,0.64%,1.08%,,,,,,,
,Camp,0.00%,0.00%,0.00%,0.00%,0.00%,0.54%,0.00%,0.56%,2.55%,1.80%,4.57%,,,,,,,
,Carson,2.17%,2.54%,5.05%,4.81%,5.45%,3.33%,6.60%,5.88%,2.11%,3.57%,8.33%,,,,,,,
,Cass,1.26%,1.63%,1.02%,0.53%,2.08%,3.05%,3.97%,2.27%,3.96%,4.82%,4.49%,,,,,,,
,Castro,0.00%,0.86%,0.00%,1.63%,0.80%,0.89%,2.99%,0.85%,2.94%,0.00%,0.99%,,,,,,,
,Chambers,1.29%,1.03%,1.58%,2.33%,2.89%,2.61%,2.82%,3.03%,2.97%,4.11%,5.84%,,,,,,,
,Cherokee,0.30%,0.58%,0.65%,0.00%,0.99%,0.34%,0.48%,0.32%,1.48%,1.34%,2.63%,,,,,,,
,Childress,0.00%,0.00%,0.00%,1.37%,1.20%,4.62%,3.17%,0.00%,0.00%,0.00%,1.64%,,,,,,,
