time	geography	geography_name	grade	N_dtap	N_polio	N_mmr	N_hep_b	N_varicella	N_personal_exempt	N_medical_exempt	N_full_exempt	pct_dtap	pct_polio	pct_mmr	pct_hep_b	pct_varicella	pct_personal_exempt	pct_medical_exempt	pct_full_exempt	enrollment
2019-09-01	51001	Accomack	7th grade	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	0	0	0	386
2019-09-01	51001	Accomack	Kindergarten	NA	NA	NA	NA	NA	3	0	3	NA	NA	NA	NA	NA	0.85	0	0.85	352
2019-09-01	51003	Albemarle	7th grade	NA	NA	NA	NA	NA	51	1	52	NA	NA	NA	NA	NA	3.96	0.08	4.04	1288
2019-09-01	51003	Albemarle	Kindergarten	NA	NA	NA	NA	NA	21	2	23	NA	NA	NA	NA	NA	1.66	0.16	1.82	1265
2019-09-01	51510	Alexandria City	7th grade	NA	NA	NA	NA	NA	11	7	18	NA	NA	NA	NA	NA	1.09	0.7	1.79	1007
2019-09-01	51510	Alexandria City	Kindergarten	NA	NA	NA	NA	NA	18	7	25	NA	NA	NA	NA	NA	1.03	0.4	1.44	1740
2019-09-01	51005	Alleghany	Kindergarten	NA	NA	NA	NA	NA	1	1	2	NA	NA	NA	NA	NA	0.6	0.6	1.2	167
2019-09-01	51007	Amelia	7th grade	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	0	0	0	133
2019-09-01	51007	Amelia	Kindergarten	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	0	0	0	120
2019-09-01	51009	Amherst	7th grade	NA	NA	NA	NA	NA	4	2	6	NA	NA	NA	NA	NA	1.13	0.56	1.69	355
2019-09-01	51009	Amherst	Kindergarten	NA	NA	NA	NA	NA	7	0	7	NA	NA	NA	NA	NA	2.15	0	2.15	326
2019-09-01	51011	Appomattox	7th grade	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	0	0	0	179
2019-09-01	51011	Appomattox	Kindergarten	NA	NA	NA	NA	NA	1	1	2	NA	NA	NA	NA	NA	0.55	0.55	1.09	183
2019-09-01	51013	Arlington	7th grade	NA	NA	NA	NA	NA	18	2	20	NA	NA	NA	NA	NA	0.81	0.09	0.9	2229
2019-09-01	51013	Arlington	Kindergarten	NA	NA	NA	NA	NA	24	5	29	NA	NA	NA	NA	NA	1	0.21	1.2	2407
2019-09-01	51015	Augusta	7th grade	NA	NA	NA	NA	NA	7	3	10	NA	NA	NA	NA	NA	1.15	0.49	1.65	607
2019-09-01	51015	Augusta	Kindergarten	NA	NA	NA	NA	NA	23	1	24	NA	NA	NA	NA	NA	3.15	0.14	3.29	730
2019-09-01	51017	Bath	7th grade	NA	NA	NA	NA	NA	2	0	2	NA	NA	NA	NA	NA	5.13	0	5.13	39
2019-09-01	51017	Bath	Kindergarten	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	0	0	0	37
2019-09-01	51019	Bedford	7th grade	NA	NA	NA	NA	NA	21	2	23	NA	NA	NA	NA	NA	2.67	0.25	2.92	787
2019-09-01	51019	Bedford	Kindergarten	NA	NA	NA	NA	NA	20	5	25	NA	NA	NA	NA	NA	2.71	0.68	3.38	739
2019-09-01	51021	Bland	7th grade	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	0	0	0	64
2019-09-01	51021	Bland	Kindergarten	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	0	0	0	40
2019-09-01	51023	Botetourt	7th grade	NA	NA	NA	NA	NA	4	1	5	NA	NA	NA	NA	NA	1.14	0.28	1.42	352
2019-09-01	51023	Botetourt	Kindergarten	NA	NA	NA	NA	NA	7	0	7	NA	NA	NA	NA	NA	2.04	0	2.04	343
2019-09-01	51520	Bristol City	7th grade	NA	NA	NA	NA	NA	1	0	1	NA	NA	NA	NA	NA	0.59	0	0.59	169
