time	geography	geography_name	grade	N_dtap	N_polio	N_mmr	N_hep_b	N_varicella	N_personal_exempt	N_medical_exempt	N_full_exempt	pct_dtap	pct_polio	pct_mmr	pct_hep_b	pct_varicella	pct_personal_exempt	pct_medical_exempt	pct_full_exempt	enrollment	unit	public_independent	pct_fully_immunized	pct_provisional
2018-09-01	50001	Addison	All grades	NA	NA	NA	NA	NA	NA	NA	NA	95.00	95.00	95.00	95.00	95.00	0.03	NA	NA	4372.00	County	All	95.00	NA
2018-09-01	50003	Bennington	All grades	NA	NA	NA	NA	NA	NA	NA	NA	95.00	95.00	95.00	95.00	95.00	0.02	<0.01	NA	5416.00	County	All	0.93	0.05
2018-09-01	50005	Caledonia	All grades	NA	NA	NA	NA	NA	NA	NA	NA	95.00	95.00	95.00	95.00	95.00	0.02	NA	NA	4758.00	County	All	95.00	NA
2018-09-01	50007	Chittenden	All grades	NA	NA	NA	NA	NA	NA	NA	NA	95.00	95.00	95.00	95.00	95.00	0.03	NA	NA	21785.00	County	All	95.00	NA
2018-09-01	50009	Essex	All grades	NA	NA	NA	NA	NA	NA	NA	NA	0.95	95.00	95.00	95.00	95.00	0.03	NA	NA	516.00	County	All	0.93	0.03
2018-09-01	50011	Franklin	All grades	NA	NA	NA	NA	NA	NA	NA	NA	95.00	95.00	95.00	95.00	95.00	0.02	NA	NA	7423.00	County	All	95.00	NA
2018-09-01	50013	Grand Isle	All grades	NA	NA	NA	NA	NA	NA	NA	NA	95.00	95.00	95.00	95.00	95.00	0.01	NA	NA	584.00	County	All	0.93	0.06
2018-09-01	50015	Lamoille	All grades	NA	NA	NA	NA	NA	NA	NA	NA	95.00	95.00	95.00	95.00	95.00	0.04	<0.01	NA	3689.00	County	All	0.92	0.04
2018-09-01	50017	Orange	All grades	NA	NA	NA	NA	NA	NA	NA	NA	95.00	95.00	95.00	95.00	95.00	0.02	NA	NA	3939.00	County	All	95.00	NA
2018-09-01	50019	Orleans	All grades	NA	NA	NA	NA	NA	NA	NA	NA	95.00	95.00	95.00	95.00	95.00	0.03	NA	NA	3749.00	County	All	0.95	0.02
