"OBJECTID","District","SDID","CESA","Type","District_Name","Percent_Immunized","Percent_Immunized_TXT","Shape.STArea()","Shape.STLength()"
1,"Adams-Friendship Area","0014",5,"Unified","Adams-Friendship Area Sch Dist",81.31868132,"81.3%",2436405189.32577,260601.189997232
2,"Albany","0063",2,"Unified","Albany Sch Dist",93.21428571,"93.2%",323055614.230849,164666.342087099
3,"Algoma","0070",7,"Unified","Algoma Sch Dist",88.26219512,"88.3%",349444067.145761,91072.9443452746
4,"Alma","0084",4,"Unified","Alma Sch Dist",96.44444444,"96.4%",693590059.582348,369064.83614617
5,"Alma Center","0091",4,"Unified","Alma Center Sch Dist",90.4109589,"90.4%",679407483.599786,163807.563822689
6,"Almond-Bancroft","0105",5,"Unified","Almond-Bancroft Sch Dist",90.55555556,"90.6%",548529374.033953,198340.207031454
7,"Altoona","0112",10,"Unified","Altoona Sch Dist",90.25423729,"90.3%",67053729.9665283,81517.8816076801
8,"Amery","0119",11,"Unified","Amery Sch Dist",86.38968481,"86.4%",853691667.2608,266893.542620092
9,"Antigo Unified","0140",9,"Unified","Antigo Unified Sch Dist",87.77895855,"87.8%",2829575798.80386,337768.664086017
10,"Appleton Area","0147",6,"Unified","Appleton Area Sch Dist",95.05533485,"95.1%",225562204.97555,81230.4051074604
11,"Arcadia","0154",4,"Unified","Arcadia Sch Dist",99.30981595,"99.3%",1078661598.76415,333055.736237775
12,"Argyle","0161",3,"Unified","Argyle Sch Dist",90.84745763,"90.8%",400080967.112511,205178.529297225
13,"Arrowhead UHS","2450",1,"Secondary","Arrowhead UHS Sch Dist",95.15899383,"95.2%",328585273.020118,100449.668798018
14,"Ashland","0170",12,"Unified","Ashland Sch Dist",91.71855542,"91.7%",2236926136.7566,345674.400773575
15,"Ashwaubenon","0182",7,"Unified","Ashwaubenon Sch Dist",94.14710485,"94.1%",51532006.9907711,48197.6749137226
16,"Athens","0196",9,"Unified","Athens Sch Dist",87.1040724,"87.1%",811544125.809596,153262.555627657
17,"Auburndale","0203",5,"Unified","Auburndale Sch Dist",90.26442308,"90.3%",771142084.021269,198534.260429984
18,"Augusta","0217",10,"Unified","Augusta Sch Dist",90.41322314,"90.4%",849745043.853549,207441.413916941
19,"Baldwin-Woodville Area","0231",11,"Unified","Baldwin-Woodville Area Sch Dist",92.29432213,"92.3%",598244586.902843,228657.582076806
20,"Bangor","0245",4,"Unified","Bangor Sch Dist",95.45454545,"95.5%",473358077.697873,175131.614496929
21,"Baraboo","0280",5,"Unified","Baraboo Sch Dist",93.30680174,"93.3%",778256377.983636,173644.605744563
22,"Barneveld","0287",3,"Unified","Barneveld Sch Dist",55.33910534,"55.3%",325456281.159101,97517.3828291476
23,"Barron Area","0308",11,"Unified","Barron Area Sch Dist",81.86864015,"81.9%",949085455.67768,330882.021589598
24,"Bayfield","0315",12,"Unified","Bayfield Sch Dist",86.51399491,"86.5%",1202234828.49545,538803.918244288
25,"Beaver Dam Unified","0336",6,"Unified","Beaver Dam Unified Sch Dist",88.70505886,"88.7%",574548024.199739,185167.790573095
26,"Beecher-Dunbar-Pembine","4263",8,"Unified","Beecher-Dunbar-Pembine Sch Dist",86.26609442,"86.3%",1174919214.38558,164909.462410813
27,"Belleville","0350",2,"Unified","Belleville Sch Dist",95.58985667,"95.6%",345538121.925323,158327.044647993
28,"Belmont Community","0364",3,"Unified","Belmont Community Sch Dist",88,"88%",487088079.872712,159956.919400611
29,"Beloit","0413",2,"Unified","Beloit Sch Dist",96.0599654,"96.1%",83740371.854598,88071.1789682532
30,"Beloit Turner","0422",2,"Unified","Beloit Turner Sch Dist",92.57213014,"92.6%",143888214.961239,122760.245306425
31,"Benton","0427",3,"Unified","Benton Sch Dist",87.21461187,"87.2%",155076721.984559,180363.058203735
32,"Berlin Area","0434",6,"Unified","Berlin Area Sch Dist",94.35240964,"94.4%",1033406278.29176,273254.265456647
33,"Big Foot UHS","6013",2,"Secondary","Big Foot UHS Sch Dist",92.98245614,"93%",363391614.81063,132173.918453798
34,"Birchwood","0441",11,"Unified","Birchwood Sch Dist",86.00823045,"86%",1227402106.63028,243148.597732909
35,"Black Hawk","2240",3,"Unified","Black Hawk Sch Dist",93.05555556,"93.1%",639172573.478745,274375.363585245
36,"Black River Falls","0476",4,"Unified","Black River Falls Sch Dist",93.19640565,"93.2%",2359439733.48153,374353.083795494
37,"Blair-Taylor","0485",4,"Unified","Blair-Taylor Sch Dist",98.98477157,"99%",890496478.585809,264803.576902696
38,"Bloomer","0497",10,"Unified","Bloomer Sch Dist",93.23248408,"93.2%",877950151.008064,229294.518123603
39,"Bonduel","0602",8,"Unified","Bonduel Sch Dist",89.70588235,"89.7%",763209442.358742,218867.410118109
40,"Boscobel Area","0609",3,"Unified","Boscobel Area Sch Dist",87.80487805,"87.8%",851123731.684966,329435.953469656
41,"Bowler","0623",8,"Unified","Bowler Sch Dist",90.16393443,"90.2%",647243298.25879,126075.56415695
42,"Boyceville Community","0637",11,"Unified","Boyceville Community Sch Dist",89.44365193,"89.4%",840886295.471408,345543.84553633
43,"Brighton #1","0657",2,"Elementary","Brighton #1 Sch Dist",91.41414141,"91.4%",161396074.838946,58300.9377854596
44,"Brillion","0658",7,"Unified","Brillion Sch Dist",88.99371069,"89%",320062177.492291,183769.760127751
45,"Bristol #1","0665",2,"Elementary","Bristol #1 Sch Dist",90.33412888,"90.3%",155843255.520522,54174.3797206097
46,"Brodhead","0700",2,"Unified","Brodhead Sch Dist",95.69049951,"95.7%",475026118.764656,209368.384771035
47,"Brown Deer","0721",1,"Unified","Brown Deer Sch Dist",89.99393572,"90%",21693613.7243976,24143.3119098242
48,"Bruce","0735",10,"Unified","Bruce Sch Dist",96.90721649,"96.9%",1427341102.89878,274603.064936469
49,"Burlington Area","0777",2,"Unified","Burlington Area Sch Dist",89.44141689,"89.4%",477674382.18322,141757.08582882
50,"Cadott Community","0870",10,"Unified","Cadott Community Sch Dist",89.74358974,"89.7%",788201370.493552,203206.185815862
51,"Cambria-Friesland","0882",5,"Unified","Cambria-Friesland Sch Dist",62.08333333,"62.1%",412944584.148544,207234.244543107
52,"Cambridge","0896",2,"Unified","Cambridge Sch Dist",92.34972678,"92.3%",313414301.640566,165002.490622439
53,"Cameron","0903",11,"Unified","Cameron Sch Dist",98.44810863,"98.4%",367743730.613834,161155.572162455
54,"Campbellsport","0910",6,"Unified","Campbellsport Sch Dist",88.19133034,"88.2%",886817105.84655,224848.55085275
55,"Cashton","0980",4,"Unified","Cashton Sch Dist",96.0443038,"96%",582274213.335531,285799.264004971
56,"Cassville","0994",3,"Unified","Cassville Sch Dist",93.10344828,"93.1%",434578626.901388,272120.010036194
57,"Cedar Grove-Belgium Area","1029",7,"Unified","Cedar Grove-Belgium Area Sch Dist",90.53905391,"90.5%",187098206.391357,99753.3877499371
58,"Cedarburg","1015",1,"Unified","Cedarburg Sch Dist",92.72435897,"92.7%",170694413.865388,70629.9810324098
59,"Westosha Central UHS","5054",2,"Secondary","Central/Westosha UHS Sch Dist",91.03392569,"91%",670261070.008966,148446.642552238
60,"Chequamegon","1071",12,"Unified","Chequamegon Sch Dist",94.64285714,"94.6%",3962815038.58017,440293.778988766
61,"Chetek-Weyerhaeuser Area","1080",11,"Unified","Chetek-Weyerhaeuser Area Sch Dist",90.76086957,"90.8%",1334941792.46147,320674.613564841
62,"Chilton","1085",7,"Unified","Chilton Sch Dist",90.2972028,"90.3%",517604248.898225,229048.599968784
63,"Chippewa Falls Area Unified","1092",10,"Unified","Chippewa Falls Area Unified Sch Dist",91.02908277,"91%",1167573751.16703,236354.692038713
64,"Clayton","1120",11,"Unified","Clayton Sch Dist",82.43727599,"82.4%",299974170.041078,132567.234907169
65,"Clinton Community","1134",2,"Unified","Clinton Community Sch Dist",89.60915157,"89.6%",533402121.585339,153676.136310556
66,"Clintonville","1141",8,"Unified","Clintonville Sch Dist",91.98782961,"92%",838993978.582777,207754.251160186
67,"Colby","1162",10,"Unified","Colby Sch Dist",88.09261301,"88.1%",844537836.485729,230182.535476943
68,"Coleman","1169",8,"Unified","Coleman Sch Dist",96.37096774,"96.4%",996854138.970534,220055.100418487
69,"Colfax","1176",11,"Unified","Colfax Sch Dist",95.23809524,"95.2%",952584604.206691,266363.232619411
70,"Columbus","1183",5,"Unified","Columbus Sch Dist",97.24770642,"97.2%",650491196.677157,218544.038681679
71,"Cornell","1204",10,"Unified","Cornell Sch Dist",90.94650206,"90.9%",526117476.446542,141078.147285874
72,"Crandon","1218",8,"Unified","Crandon Sch Dist",92.17809868,"92.2%",2816792662.79248,345475.966593402
73,"Crivitz","1232",8,"Unified","Crivitz Sch Dist",93.96226415,"94%",1491825123.0746,225570.487852267
74,"Cuba City","1246",3,"Unified","Cuba City Sch Dist",93.03977273,"93%",376036751.207362,275607.891212485
75,"Cudahy","1253",1,"Unified","Cudahy Sch Dist",91.81731684,"91.8%",23107883.8089139,20145.6498726261
76,"Cumberland","1260",11,"Unified","Cumberland Sch Dist",88.55291577,"88.6%",985667614.716901,203554.839255241
77,"D C Everest Area","4970",9,"Unified","D C Everest Area Sch Dist",93.23748669,"93.2%",835386854.378351,157821.264480374
78,"Darlington Community","1295",3,"Unified","Darlington Community Sch Dist",86.05927552,"86.1%",767219342.798403,325575.251833078
79,"De Pere","1414",7,"Unified","De Pere Sch Dist",90.38376709,"90.4%",321925528.500161,135499.312841887
80,"Deerfield Community","1309",2,"Unified","Deerfield Community Sch Dist",95.2,"95.2%",200669362.73937,152434.614890701
81,"DeForest Area","1316",2,"Unified","De Forest Area Sch Dist",94.8854041,"94.9%",436423035.527033,154327.309193377
82,"Delavan-Darien","1380",2,"Unified","Delavan-Darien Sch Dist",91.03291714,"91%",472414073.920572,152151.23090236
83,"Denmark","1407",7,"Unified","Denmark Sch Dist",93.374613,"93.4%",713908352.873729,173971.394141907
84,"Dodgeland","2744",6,"Unified","Dodgeland Sch Dist",88.10861423,"88.1%",422879801.015545,253561.341614424
85,"Dodgeville","1428",3,"Unified","Dodgeville Sch Dist",96.78030303,"96.8%",910179068.235458,319013.57528161
86,"Dover #1","1449",2,"Elementary","Dover #1 Sch Dist",92.04545455,"92%",54187849.1993777,35807.1688407052
87,"Drummond Area","1491",12,"Unified","Drummond Area Sch Dist",87.61061947,"87.6%",3668443908.91801,284974.844489962
88,"East Troy Community","1540",2,"Unified","East Troy Community Sch Dist",91.5913829,"91.6%",444922130.884526,116867.900339195
89,"Eau Claire Area","1554",10,"Unified","Eau Claire Area Sch Dist",91.67266372,"91.7%",1011089451.08026,384030.03982739
90,"Edgar","1561",9,"Unified","Edgar Sch Dist",90.60955519,"90.6%",420744993.646051,161955.055079583
91,"Edgerton","1568",2,"Unified","Edgerton Sch Dist",92.29177444,"92.3%",442401635.309028,130310.582443425
92,"Elcho","1582",9,"Unified","Elcho Sch Dist",36.44067797,"36.4%",1696762708.06608,214878.182421323
93,"Eleva-Strum","1600",10,"Unified","Eleva-Strum Sch Dist",86.9955157,"87%",639934410.258359,200424.683848342
94,"Elk Mound Area","1645",11,"Unified","Elk Mound Area Sch Dist",85.06550218,"85.1%",456820810.496043,182127.903736485
95,"Elkhart Lake-Glenbeulah","1631",7,"Unified","Elkhart Lake-Glenbeulah Sch Dist",91.875,"91.9%",270617704.881326,220096.788893088
