time,state,geography,geography_name,grade,vaccine,n_exempt
12-31-2018,West Virginia,54001,Barbour County,Kindergarten,mmr,0.00
12-31-2019,West Virginia,54001,Barbour County,Kindergarten,mmr,0.00
12-31-2020,West Virginia,54001,Barbour County,Kindergarten,mmr,0.00
12-31-2021,West Virginia,54001,Barbour County,Kindergarten,mmr,0.00
12-31-2022,West Virginia,54001,Barbour County,Kindergarten,mmr,0.00
12-31-2023,West Virginia,54001,Barbour County,Kindergarten,mmr,0.00
12-31-2024,West Virginia,54001,Barbour County,Kindergarten,mmr,0.00
12-31-2025,West Virginia,54001,Barbour County,Kindergarten,mmr,0.00
12-31-2018,West Virginia,54003,Berkeley County,Kindergarten,mmr,0.00
12-31-2019,West Virginia,54003,Berkeley County,Kindergarten,mmr,0.00
12-31-2020,West Virginia,54003,Berkeley County,Kindergarten,mmr,0.00
12-31-2021,West Virginia,54003,Berkeley County,Kindergarten,mmr,0.00
12-31-2022,West Virginia,54003,Berkeley County,Kindergarten,mmr,0.00
12-31-2023,West Virginia,54003,Berkeley County,Kindergarten,mmr,0.00
12-31-2024,West Virginia,54003,Berkeley County,Kindergarten,mmr,3.00
12-31-2025,West Virginia,54003,Berkeley County,Kindergarten,mmr,0.00
12-31-2018,West Virginia,54005,Boone County,Kindergarten,mmr,0.00
12-31-2019,West Virginia,54005,Boone County,Kindergarten,mmr,0.00
12-31-2020,West Virginia,54005,Boone County,Kindergarten,mmr,0.00
12-31-2021,West Virginia,54005,Boone County,Kindergarten,mmr,0.00
12-31-2022,West Virginia,54005,Boone County,Kindergarten,mmr,0.00
12-31-2023,West Virginia,54005,Boone County,Kindergarten,mmr,0.00
12-31-2024,West Virginia,54005,Boone County,Kindergarten,mmr,0.00
12-31-2025,West Virginia,54005,Boone County,Kindergarten,mmr,0.00
12-31-2018,West Virginia,54007,Braxton County,Kindergarten,mmr,0.00
12-31-2019,West Virginia,54007,Braxton County,Kindergarten,mmr,0.00
12-31-2020,West Virginia,54007,Braxton County,Kindergarten,mmr,0.00
12-31-2021,West Virginia,54007,Braxton County,Kindergarten,mmr,0.00
12-31-2022,West Virginia,54007,Braxton County,Kindergarten,mmr,0.00
12-31-2023,West Virginia,54007,Braxton County,Kindergarten,mmr,0.00
12-31-2024,West Virginia,54007,Braxton County,Kindergarten,mmr,0.00
12-31-2025,West Virginia,54007,Braxton County,Kindergarten,mmr,0.00
12-31-2018,West Virginia,54009,Brooke County,Kindergarten,mmr,0.00
12-31-2019,West Virginia,54009,Brooke County,Kindergarten,mmr,0.00
12-31-2020,West Virginia,54009,Brooke County,Kindergarten,mmr,0.00
12-31-2021,West Virginia,54009,Brooke County,Kindergarten,mmr,0.00
12-31-2022,West Virginia,54009,Brooke County,Kindergarten,mmr,0.00
12-31-2023,West Virginia,54009,Brooke County,Kindergarten,mmr,0.00
12-31-2024,West Virginia,54009,Brooke County,Kindergarten,mmr,0.00
12-31-2025,West Virginia,54009,Brooke County,Kindergarten,mmr,0.00
12-31-2018,West Virginia,54011,Cabell County,Kindergarten,mmr,0.00
12-31-2019,West Virginia,54011,Cabell County,Kindergarten,mmr,0.00
12-31-2020,West Virginia,54011,Cabell County,Kindergarten,mmr,0.00
12-31-2021,West Virginia,54011,Cabell County,Kindergarten,mmr,0.00
12-31-2022,West Virginia,54011,Cabell County,Kindergarten,mmr,0.00
12-31-2023,West Virginia,54011,Cabell County,Kindergarten,mmr,1.00
12-31-2024,West Virginia,54011,Cabell County,Kindergarten,mmr,0.00
12-31-2025,West Virginia,54011,Cabell County,Kindergarten,mmr,0.00
12-31-2018,West Virginia,54013,Calhoun County,Kindergarten,mmr,0.00
12-31-2019,West Virginia,54013,Calhoun County,Kindergarten,mmr,0.00
12-31-2020,West Virginia,54013,Calhoun County,Kindergarten,mmr,0.00
12-31-2021,West Virginia,54013,Calhoun County,Kindergarten,mmr,0.00
12-31-2022,West Virginia,54013,Calhoun County,Kindergarten,mmr,0.00
12-31-2023,West Virginia,54013,Calhoun County,Kindergarten,mmr,0.00
12-31-2024,West Virginia,54013,Calhoun County,Kindergarten,mmr,0.00
12-31-2025,West Virginia,54013,Calhoun County,Kindergarten,mmr,0.00
12-31-2018,West Virginia,54015,Clay County,Kindergarten,mmr,0.00
12-31-2019,West Virginia,54015,Clay County,Kindergarten,mmr,0.00
12-31-2020,West Virginia,54015,Clay County,Kindergarten,mmr,0.00
12-31-2021,West Virginia,54015,Clay County,Kindergarten,mmr,0.00
12-31-2022,West Virginia,54015,Clay County,Kindergarten,mmr,0.00
12-31-2023,West Virginia,54015,Clay County,Kindergarten,mmr,0.00
12-31-2024,West Virginia,54015,Clay County,Kindergarten,mmr,0.00
12-31-2025,West Virginia,54015,Clay County,Kindergarten,mmr,0.00
12-31-2018,West Virginia,54017,Doddridge County,Kindergarten,mmr,0.00
12-31-2019,West Virginia,54017,Doddridge County,Kindergarten,mmr,0.00
12-31-2020,West Virginia,54017,Doddridge County,Kindergarten,mmr,0.00
